Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,18.3,2379.7465,36.625,2
1,17.0,3122.7455,36.625,2
2,11.45,2340.7865,36.625,2
3,24.6,1728.2579999999998,36.625,2
4,29.3,3179.876,36.625,2
5,11.5,2035.6924999999999,36.625,2
6,11.5,2355.2740000000003,36.625,2
7,17.1,3300.2365,36.625,2
8,22.25,2745.9134999999997,36.625,2
9,11.5,2457.9995,36.625,2
10,22.4,3297.2565,36.625,2
11,16.5,1861.2105,36.625,2
12,15.2,3304.1440000000002,36.625,2
13,15.649999999999999,3297.151,36.625,2
14,21.0,3297.4595,36.625,2
15,15.4,3297.5575,36.625,2
16,10.05,2383.926,36.625,2
17,18.25,3283.116,36.625,2
18,11.350000000000001,1949.6530000000002,36.625,2
19,41.0,1677.1335,36.625,2
20,10.0,2476.4809999999998,36.625,2
21,10.55,2027.9065,36.625,2
22,10.95,1963.958,36.625,2
23,22.85,3282.5074999999997,36.625,2
24,39.9,2737.189,36.625,2
25,23.1,2392.5280000000002,36.625,2
26,22.299999999999997,3297.599,36.625,2
27,23.2,1890.5140000000001,36.625,2
28,21.6,3297.5665,36.625,2
29,21.799999999999997,3294.901,36.625,2
30,20.9,3297.5405,36.625,2
31,58.550000000000004,3281.339,36.625,2
