Process_CPU,Affined_Cores,Affined_Temperatures,Timestamp
99.9,"{0: 0.0, 1: 0.0, 2: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 100.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 100.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 100.0}","{0: 36.5625, 1: 36.5625, 2: 36.5625, 3: 36.5625, 4: 36.5625, 5: 36.5625, 6: 36.5625, 7: 36.5625, 8: 36.5625, 9: 36.5625, 10: 36.5625, 11: 36.5625, 12: 36.5625, 13: 36.5625, 14: 36.5625, 15: 36.5625, 16: 36.5625, 17: 36.5625, 18: 36.5625, 19: 36.5625, 20: 36.5625, 21: 36.5625, 22: 36.5625, 23: 36.5625, 24: 36.5625, 25: 36.5625, 26: 36.5625, 27: 36.5625, 28: 36.5625, 29: 36.5625, 30: 36.5625, 31: 36.5625, 32: 36.5625, 33: 36.5625, 34: 36.5625, 35: 36.5625, 36: 36.5625, 37: 36.5625, 38: 36.5625, 39: 36.5625, 40: 36.5625, 41: 36.5625, 42: 36.5625, 43: 36.5625, 44: 36.5625, 45: 36.5625, 46: 36.5625, 47: 36.5625, 48: 36.5625, 49: 36.5625, 50: 36.5625, 51: 36.5625, 52: 36.5625, 53: 36.5625, 54: 36.5625, 55: 36.5625, 56: 36.5625, 57: 36.5625, 58: 36.5625, 59: 36.5625, 60: 36.5625, 61: 36.5625, 62: 36.5625, 63: 36.5625}",2025-03-12 20:31:33.990445
99.8,"{0: 50.0, 1: 50.0, 2: 45.5, 3: 45.5, 4: 20.0, 5: 40.0, 6: 40.0, 7: 45.5, 8: 0.0, 9: 45.5, 10: 50.0, 11: 40.0, 12: 88.9, 13: 40.0, 14: 0.0, 15: 50.0, 16: 0.0, 17: 45.5, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 50.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 54.5, 29: 0.0, 30: 0.0, 31: 0.0, 32: 44.4, 33: 50.0, 34: 0.0, 35: 45.5, 36: 50.0, 37: 50.0, 38: 45.5, 39: 0.0, 40: 45.5, 41: 44.4, 42: 45.5, 43: 45.5, 44: 45.5, 45: 45.5, 46: 40.0, 47: 44.4, 48: 0.0, 49: 0.0, 50: 45.5, 51: 0.0, 52: 0.0, 53: 44.4, 54: 0.0, 55: 0.0, 56: 45.5, 57: 0.0, 58: 40.0, 59: 0.0, 60: 0.0, 61: 100.0, 62: 0.0, 63: 0.0}","{0: 36.8125, 1: 36.8125, 2: 36.8125, 3: 36.8125, 4: 36.8125, 5: 36.8125, 6: 36.8125, 7: 36.8125, 8: 36.8125, 9: 36.8125, 10: 36.8125, 11: 36.8125, 12: 36.8125, 13: 36.8125, 14: 36.8125, 15: 36.8125, 16: 36.8125, 17: 36.8125, 18: 36.8125, 19: 36.8125, 20: 36.8125, 21: 36.8125, 22: 36.8125, 23: 36.8125, 24: 36.8125, 25: 36.8125, 26: 36.8125, 27: 36.8125, 28: 36.8125, 29: 36.8125, 30: 36.8125, 31: 36.8125, 32: 36.8125, 33: 36.8125, 34: 36.8125, 35: 36.8125, 36: 36.8125, 37: 36.8125, 38: 36.8125, 39: 36.8125, 40: 36.8125, 41: 36.8125, 42: 36.8125, 43: 36.8125, 44: 36.8125, 45: 36.8125, 46: 36.8125, 47: 36.8125, 48: 36.8125, 49: 36.8125, 50: 36.8125, 51: 36.8125, 52: 36.8125, 53: 36.8125, 54: 36.8125, 55: 36.8125, 56: 36.8125, 57: 36.8125, 58: 36.8125, 59: 36.8125, 60: 36.8125, 61: 36.8125, 62: 36.8125, 63: 36.8125}",2025-03-12 20:31:36.300830
99.8,"{0: 30.0, 1: 22.2, 2: 30.0, 3: 27.3, 4: 80.0, 5: 20.0, 6: 20.0, 7: 30.0, 8: 0.0, 9: 30.0, 10: 0.0, 11: 20.0, 12: 30.0, 13: 27.3, 14: 22.2, 15: 10.0, 16: 0.0, 17: 27.3, 18: 0.0, 19: 0.0, 20: 20.0, 21: 0.0, 22: 0.0, 23: 100.0, 24: 30.0, 25: 0.0, 26: 22.2, 27: 0.0, 28: 0.0, 29: 0.0, 30: 30.0, 31: 0.0, 32: 30.0, 33: 20.0, 34: 0.0, 35: 20.0, 36: 20.0, 37: 30.0, 38: 20.0, 39: 0.0, 40: 20.0, 41: 30.0, 42: 22.2, 43: 20.0, 44: 27.3, 45: 22.2, 46: 27.3, 47: 22.2, 48: 0.0, 49: 0.0, 50: 20.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 100.0, 62: 0.0, 63: 0.0}","{0: 36.25, 1: 36.25, 2: 36.25, 3: 36.25, 4: 36.25, 5: 36.25, 6: 36.25, 7: 36.25, 8: 36.25, 9: 36.25, 10: 36.25, 11: 36.25, 12: 36.25, 13: 36.25, 14: 36.25, 15: 36.25, 16: 36.25, 17: 36.25, 18: 36.25, 19: 36.25, 20: 36.25, 21: 36.25, 22: 36.25, 23: 36.25, 24: 36.25, 25: 36.25, 26: 36.25, 27: 36.25, 28: 36.25, 29: 36.25, 30: 36.25, 31: 36.25, 32: 36.25, 33: 36.25, 34: 36.25, 35: 36.25, 36: 36.25, 37: 36.25, 38: 36.25, 39: 36.25, 40: 36.25, 41: 36.25, 42: 36.25, 43: 36.25, 44: 36.25, 45: 36.25, 46: 36.25, 47: 36.25, 48: 36.25, 49: 36.25, 50: 36.25, 51: 36.25, 52: 36.25, 53: 36.25, 54: 36.25, 55: 36.25, 56: 36.25, 57: 36.25, 58: 36.25, 59: 36.25, 60: 36.25, 61: 36.25, 62: 36.25, 63: 36.25}",2025-03-12 20:31:38.617130
109.9,"{0: 16.7, 1: 9.1, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 83.3, 11: 0.0, 12: 0.0, 13: 0.0, 14: 10.0, 15: 0.0, 16: 9.1, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 30.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 81.8, 45: 0.0, 46: 0.0, 47: 9.1, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 44.4, 59: 0.0, 60: 0.0, 61: 100.0, 62: 0.0, 63: 0.0}","{0: 36.1875, 1: 36.1875, 2: 36.1875, 3: 36.1875, 4: 36.1875, 5: 36.1875, 6: 36.1875, 7: 36.1875, 8: 36.1875, 9: 36.1875, 10: 36.1875, 11: 36.1875, 12: 36.1875, 13: 36.1875, 14: 36.1875, 15: 36.1875, 16: 36.1875, 17: 36.1875, 18: 36.1875, 19: 36.1875, 20: 36.1875, 21: 36.1875, 22: 36.1875, 23: 36.1875, 24: 36.1875, 25: 36.1875, 26: 36.1875, 27: 36.1875, 28: 36.1875, 29: 36.1875, 30: 36.1875, 31: 36.1875, 32: 36.1875, 33: 36.1875, 34: 36.1875, 35: 36.1875, 36: 36.1875, 37: 36.1875, 38: 36.1875, 39: 36.1875, 40: 36.1875, 41: 36.1875, 42: 36.1875, 43: 36.1875, 44: 36.1875, 45: 36.1875, 46: 36.1875, 47: 36.1875, 48: 36.1875, 49: 36.1875, 50: 36.1875, 51: 36.1875, 52: 36.1875, 53: 36.1875, 54: 36.1875, 55: 36.1875, 56: 36.1875, 57: 36.1875, 58: 36.1875, 59: 36.1875, 60: 36.1875, 61: 36.1875, 62: 36.1875, 63: 36.1875}",2025-03-12 20:31:40.934670
99.9,"{0: 44.4, 1: 44.4, 2: 50.0, 3: 50.0, 4: 80.0, 5: 9.1, 6: 50.0, 7: 0.0, 8: 50.0, 9: 50.0, 10: 0.0, 11: 50.0, 12: 0.0, 13: 50.0, 14: 0.0, 15: 44.4, 16: 0.0, 17: 50.0, 18: 0.0, 19: 0.0, 20: 50.0, 21: 44.4, 22: 0.0, 23: 0.0, 24: 100.0, 25: 0.0, 26: 55.6, 27: 0.0, 28: 0.0, 29: 0.0, 30: 50.0, 31: 0.0, 32: 44.4, 33: 44.4, 34: 10.0, 35: 50.0, 36: 0.0, 37: 44.4, 38: 55.6, 39: 50.0, 40: 50.0, 41: 50.0, 42: 50.0, 43: 44.4, 44: 50.0, 45: 50.0, 46: 50.0, 47: 50.0, 48: 50.0, 49: 0.0, 50: 50.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 100.0, 62: 0.0, 63: 0.0}","{0: 36.625, 1: 36.625, 2: 36.625, 3: 36.625, 4: 36.625, 5: 36.625, 6: 36.625, 7: 36.625, 8: 36.625, 9: 36.625, 10: 36.625, 11: 36.625, 12: 36.625, 13: 36.625, 14: 36.625, 15: 36.625, 16: 36.625, 17: 36.625, 18: 36.625, 19: 36.625, 20: 36.625, 21: 36.625, 22: 36.625, 23: 36.625, 24: 36.625, 25: 36.625, 26: 36.625, 27: 36.625, 28: 36.625, 29: 36.625, 30: 36.625, 31: 36.625, 32: 36.625, 33: 36.625, 34: 36.625, 35: 36.625, 36: 36.625, 37: 36.625, 38: 36.625, 39: 36.625, 40: 36.625, 41: 36.625, 42: 36.625, 43: 36.625, 44: 36.625, 45: 36.625, 46: 36.625, 47: 36.625, 48: 36.625, 49: 36.625, 50: 36.625, 51: 36.625, 52: 36.625, 53: 36.625, 54: 36.625, 55: 36.625, 56: 36.625, 57: 36.625, 58: 36.625, 59: 36.625, 60: 36.625, 61: 36.625, 62: 36.625, 63: 36.625}",2025-03-12 20:31:43.237690
99.9,"{0: 0.0, 1: 30.0, 2: 36.4, 3: 30.0, 4: 30.0, 5: 80.0, 6: 0.0, 7: 30.0, 8: 0.0, 9: 30.0, 10: 0.0, 11: 30.0, 12: 30.0, 13: 0.0, 14: 0.0, 15: 30.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 30.0, 21: 36.4, 22: 36.4, 23: 0.0, 24: 0.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 100.0, 31: 0.0, 32: 36.4, 33: 30.0, 34: 11.1, 35: 30.0, 36: 30.0, 37: 0.0, 38: 40.0, 39: 30.0, 40: 40.0, 41: 30.0, 42: 36.4, 43: 30.0, 44: 36.4, 45: 40.0, 46: 30.0, 47: 33.3, 48: 36.4, 49: 0.0, 50: 36.4, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 40.0, 57: 0.0, 58: 0.0, 59: 30.0, 60: 0.0, 61: 36.4, 62: 0.0, 63: 0.0}","{0: 37.0625, 1: 37.0625, 2: 37.0625, 3: 37.0625, 4: 37.0625, 5: 37.0625, 6: 37.0625, 7: 37.0625, 8: 37.0625, 9: 37.0625, 10: 37.0625, 11: 37.0625, 12: 37.0625, 13: 37.0625, 14: 37.0625, 15: 37.0625, 16: 37.0625, 17: 37.0625, 18: 37.0625, 19: 37.0625, 20: 37.0625, 21: 37.0625, 22: 37.0625, 23: 37.0625, 24: 37.0625, 25: 37.0625, 26: 37.0625, 27: 37.0625, 28: 37.0625, 29: 37.0625, 30: 37.0625, 31: 37.0625, 32: 37.0625, 33: 37.0625, 34: 37.0625, 35: 37.0625, 36: 37.0625, 37: 37.0625, 38: 37.0625, 39: 37.0625, 40: 37.0625, 41: 37.0625, 42: 37.0625, 43: 37.0625, 44: 37.0625, 45: 37.0625, 46: 37.0625, 47: 37.0625, 48: 37.0625, 49: 37.0625, 50: 37.0625, 51: 37.0625, 52: 37.0625, 53: 37.0625, 54: 37.0625, 55: 37.0625, 56: 37.0625, 57: 37.0625, 58: 37.0625, 59: 37.0625, 60: 37.0625, 61: 37.0625, 62: 37.0625, 63: 37.0625}",2025-03-12 20:31:45.553906
99.9,"{0: 60.0, 1: 10.0, 2: 37.5, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 22.2, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 100.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 100.0, 31: 0.0, 32: 33.3, 33: 10.0, 34: 0.0, 35: 10.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 40.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 36.8125, 1: 36.8125, 2: 36.8125, 3: 36.8125, 4: 36.8125, 5: 36.8125, 6: 36.8125, 7: 36.8125, 8: 36.8125, 9: 36.8125, 10: 36.8125, 11: 36.8125, 12: 36.8125, 13: 36.8125, 14: 36.8125, 15: 36.8125, 16: 36.8125, 17: 36.8125, 18: 36.8125, 19: 36.8125, 20: 36.8125, 21: 36.8125, 22: 36.8125, 23: 36.8125, 24: 36.8125, 25: 36.8125, 26: 36.8125, 27: 36.8125, 28: 36.8125, 29: 36.8125, 30: 36.8125, 31: 36.8125, 32: 36.8125, 33: 36.8125, 34: 36.8125, 35: 36.8125, 36: 36.8125, 37: 36.8125, 38: 36.8125, 39: 36.8125, 40: 36.8125, 41: 36.8125, 42: 36.8125, 43: 36.8125, 44: 36.8125, 45: 36.8125, 46: 36.8125, 47: 36.8125, 48: 36.8125, 49: 36.8125, 50: 36.8125, 51: 36.8125, 52: 36.8125, 53: 36.8125, 54: 36.8125, 55: 36.8125, 56: 36.8125, 57: 36.8125, 58: 36.8125, 59: 36.8125, 60: 36.8125, 61: 36.8125, 62: 36.8125, 63: 36.8125}",2025-03-12 20:31:47.889642
39.9,"{0: 16.7, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 50.0, 32: 0.0, 33: 0.0, 34: 100.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 18.2, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 9.1, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 60.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 20.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 40.0, 63: 0.0}","{0: 36.25, 1: 36.25, 2: 36.25, 3: 36.25, 4: 36.25, 5: 36.25, 6: 36.25, 7: 36.25, 8: 36.25, 9: 36.25, 10: 36.25, 11: 36.25, 12: 36.25, 13: 36.25, 14: 36.25, 15: 36.25, 16: 36.25, 17: 36.25, 18: 36.25, 19: 36.25, 20: 36.25, 21: 36.25, 22: 36.25, 23: 36.25, 24: 36.25, 25: 36.25, 26: 36.25, 27: 36.25, 28: 36.25, 29: 36.25, 30: 36.25, 31: 36.25, 32: 36.25, 33: 36.25, 34: 36.25, 35: 36.25, 36: 36.25, 37: 36.25, 38: 36.25, 39: 36.25, 40: 36.25, 41: 36.25, 42: 36.25, 43: 36.25, 44: 36.25, 45: 36.25, 46: 36.25, 47: 36.25, 48: 36.25, 49: 36.25, 50: 36.25, 51: 36.25, 52: 36.25, 53: 36.25, 54: 36.25, 55: 36.25, 56: 36.25, 57: 36.25, 58: 36.25, 59: 36.25, 60: 36.25, 61: 36.25, 62: 36.25, 63: 36.25}",2025-03-12 20:31:50.239672
109.8,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 100.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 100.0, 36: 0.0, 37: 0.0, 38: 9.1, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 37.0625, 1: 37.0625, 2: 37.0625, 3: 37.0625, 4: 37.0625, 5: 37.0625, 6: 37.0625, 7: 37.0625, 8: 37.0625, 9: 37.0625, 10: 37.0625, 11: 37.0625, 12: 37.0625, 13: 37.0625, 14: 37.0625, 15: 37.0625, 16: 37.0625, 17: 37.0625, 18: 37.0625, 19: 37.0625, 20: 37.0625, 21: 37.0625, 22: 37.0625, 23: 37.0625, 24: 37.0625, 25: 37.0625, 26: 37.0625, 27: 37.0625, 28: 37.0625, 29: 37.0625, 30: 37.0625, 31: 37.0625, 32: 37.0625, 33: 37.0625, 34: 37.0625, 35: 37.0625, 36: 37.0625, 37: 37.0625, 38: 37.0625, 39: 37.0625, 40: 37.0625, 41: 37.0625, 42: 37.0625, 43: 37.0625, 44: 37.0625, 45: 37.0625, 46: 37.0625, 47: 37.0625, 48: 37.0625, 49: 37.0625, 50: 37.0625, 51: 37.0625, 52: 37.0625, 53: 37.0625, 54: 37.0625, 55: 37.0625, 56: 37.0625, 57: 37.0625, 58: 37.0625, 59: 37.0625, 60: 37.0625, 61: 37.0625, 62: 37.0625, 63: 37.0625}",2025-03-12 20:31:52.560789
359.5,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 10.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 10.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 10.0, 17: 10.0, 18: 10.0, 19: 10.0, 20: 10.0, 21: 18.2, 22: 10.0, 23: 10.0, 24: 10.0, 25: 18.2, 26: 100.0, 27: 18.2, 28: 10.0, 29: 18.2, 30: 0.0, 31: 10.0, 32: 100.0, 33: 0.0, 34: 9.1, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 10.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 10.0, 49: 90.0, 50: 18.2, 51: 10.0, 52: 18.2, 53: 10.0, 54: 10.0, 55: 0.0, 56: 10.0, 57: 10.0, 58: 0.0, 59: 10.0, 60: 10.0, 61: 10.0, 62: 10.0, 63: 10.0}","{0: 36.9375, 1: 36.9375, 2: 36.9375, 3: 36.9375, 4: 36.9375, 5: 36.9375, 6: 36.9375, 7: 36.9375, 8: 36.9375, 9: 36.9375, 10: 36.9375, 11: 36.9375, 12: 36.9375, 13: 36.9375, 14: 36.9375, 15: 36.9375, 16: 36.9375, 17: 36.9375, 18: 36.9375, 19: 36.9375, 20: 36.9375, 21: 36.9375, 22: 36.9375, 23: 36.9375, 24: 36.9375, 25: 36.9375, 26: 36.9375, 27: 36.9375, 28: 36.9375, 29: 36.9375, 30: 36.9375, 31: 36.9375, 32: 36.9375, 33: 36.9375, 34: 36.9375, 35: 36.9375, 36: 36.9375, 37: 36.9375, 38: 36.9375, 39: 36.9375, 40: 36.9375, 41: 36.9375, 42: 36.9375, 43: 36.9375, 44: 36.9375, 45: 36.9375, 46: 36.9375, 47: 36.9375, 48: 36.9375, 49: 36.9375, 50: 36.9375, 51: 36.9375, 52: 36.9375, 53: 36.9375, 54: 36.9375, 55: 36.9375, 56: 36.9375, 57: 36.9375, 58: 36.9375, 59: 36.9375, 60: 36.9375, 61: 36.9375, 62: 36.9375, 63: 36.9375}",2025-03-12 20:31:54.872741
