Process_CPU,Affined_Cores,Affined_Temperatures,Timestamp
89.8,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 100.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 100.0}","{0: 34.5625, 1: 34.5625, 2: 34.5625, 3: 34.5625, 4: 34.5625, 5: 34.5625, 6: 34.5625, 7: 34.5625, 8: 34.5625, 9: 34.5625, 10: 34.5625, 11: 34.5625, 12: 34.5625, 13: 34.5625, 14: 34.5625, 15: 34.5625, 16: 34.5625, 17: 34.5625, 18: 34.5625, 19: 34.5625, 20: 34.5625, 21: 34.5625, 22: 34.5625, 23: 34.5625, 24: 34.5625, 25: 34.5625, 26: 34.5625, 27: 34.5625, 28: 34.5625, 29: 34.5625, 30: 34.5625, 31: 34.5625, 32: 34.5625, 33: 34.5625, 34: 34.5625, 35: 34.5625, 36: 34.5625, 37: 34.5625, 38: 34.5625, 39: 34.5625, 40: 34.5625, 41: 34.5625, 42: 34.5625, 43: 34.5625, 44: 34.5625, 45: 34.5625, 46: 34.5625, 47: 34.5625, 48: 34.5625, 49: 34.5625, 50: 34.5625, 51: 34.5625, 52: 34.5625, 53: 34.5625, 54: 34.5625, 55: 34.5625, 56: 34.5625, 57: 34.5625, 58: 34.5625, 59: 34.5625, 60: 34.5625, 61: 34.5625, 62: 34.5625, 63: 34.5625}",2025-03-12 19:25:24.315644
99.8,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 100.0, 55: 0.0, 56: 100.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.3125, 1: 34.3125, 2: 34.3125, 3: 34.3125, 4: 34.3125, 5: 34.3125, 6: 34.3125, 7: 34.3125, 8: 34.3125, 9: 34.3125, 10: 34.3125, 11: 34.3125, 12: 34.3125, 13: 34.3125, 14: 34.3125, 15: 34.3125, 16: 34.3125, 17: 34.3125, 18: 34.3125, 19: 34.3125, 20: 34.3125, 21: 34.3125, 22: 34.3125, 23: 34.3125, 24: 34.3125, 25: 34.3125, 26: 34.3125, 27: 34.3125, 28: 34.3125, 29: 34.3125, 30: 34.3125, 31: 34.3125, 32: 34.3125, 33: 34.3125, 34: 34.3125, 35: 34.3125, 36: 34.3125, 37: 34.3125, 38: 34.3125, 39: 34.3125, 40: 34.3125, 41: 34.3125, 42: 34.3125, 43: 34.3125, 44: 34.3125, 45: 34.3125, 46: 34.3125, 47: 34.3125, 48: 34.3125, 49: 34.3125, 50: 34.3125, 51: 34.3125, 52: 34.3125, 53: 34.3125, 54: 34.3125, 55: 34.3125, 56: 34.3125, 57: 34.3125, 58: 34.3125, 59: 34.3125, 60: 34.3125, 61: 34.3125, 62: 34.3125, 63: 34.3125}",2025-03-12 19:25:26.634986
99.9,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 100.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 100.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.5, 1: 34.5, 2: 34.5, 3: 34.5, 4: 34.5, 5: 34.5, 6: 34.5, 7: 34.5, 8: 34.5, 9: 34.5, 10: 34.5, 11: 34.5, 12: 34.5, 13: 34.5, 14: 34.5, 15: 34.5, 16: 34.5, 17: 34.5, 18: 34.5, 19: 34.5, 20: 34.5, 21: 34.5, 22: 34.5, 23: 34.5, 24: 34.5, 25: 34.5, 26: 34.5, 27: 34.5, 28: 34.5, 29: 34.5, 30: 34.5, 31: 34.5, 32: 34.5, 33: 34.5, 34: 34.5, 35: 34.5, 36: 34.5, 37: 34.5, 38: 34.5, 39: 34.5, 40: 34.5, 41: 34.5, 42: 34.5, 43: 34.5, 44: 34.5, 45: 34.5, 46: 34.5, 47: 34.5, 48: 34.5, 49: 34.5, 50: 34.5, 51: 34.5, 52: 34.5, 53: 34.5, 54: 34.5, 55: 34.5, 56: 34.5, 57: 34.5, 58: 34.5, 59: 34.5, 60: 34.5, 61: 34.5, 62: 34.5, 63: 34.5}",2025-03-12 19:25:28.973794
89.9,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 100.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 100.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.125, 1: 34.125, 2: 34.125, 3: 34.125, 4: 34.125, 5: 34.125, 6: 34.125, 7: 34.125, 8: 34.125, 9: 34.125, 10: 34.125, 11: 34.125, 12: 34.125, 13: 34.125, 14: 34.125, 15: 34.125, 16: 34.125, 17: 34.125, 18: 34.125, 19: 34.125, 20: 34.125, 21: 34.125, 22: 34.125, 23: 34.125, 24: 34.125, 25: 34.125, 26: 34.125, 27: 34.125, 28: 34.125, 29: 34.125, 30: 34.125, 31: 34.125, 32: 34.125, 33: 34.125, 34: 34.125, 35: 34.125, 36: 34.125, 37: 34.125, 38: 34.125, 39: 34.125, 40: 34.125, 41: 34.125, 42: 34.125, 43: 34.125, 44: 34.125, 45: 34.125, 46: 34.125, 47: 34.125, 48: 34.125, 49: 34.125, 50: 34.125, 51: 34.125, 52: 34.125, 53: 34.125, 54: 34.125, 55: 34.125, 56: 34.125, 57: 34.125, 58: 34.125, 59: 34.125, 60: 34.125, 61: 34.125, 62: 34.125, 63: 34.125}",2025-03-12 19:25:31.311296
99.8,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 100.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 55.6, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.1875, 1: 34.1875, 2: 34.1875, 3: 34.1875, 4: 34.1875, 5: 34.1875, 6: 34.1875, 7: 34.1875, 8: 34.1875, 9: 34.1875, 10: 34.1875, 11: 34.1875, 12: 34.1875, 13: 34.1875, 14: 34.1875, 15: 34.1875, 16: 34.1875, 17: 34.1875, 18: 34.1875, 19: 34.1875, 20: 34.1875, 21: 34.1875, 22: 34.1875, 23: 34.1875, 24: 34.1875, 25: 34.1875, 26: 34.1875, 27: 34.1875, 28: 34.1875, 29: 34.1875, 30: 34.1875, 31: 34.1875, 32: 34.1875, 33: 34.1875, 34: 34.1875, 35: 34.1875, 36: 34.1875, 37: 34.1875, 38: 34.1875, 39: 34.1875, 40: 34.1875, 41: 34.1875, 42: 34.1875, 43: 34.1875, 44: 34.1875, 45: 34.1875, 46: 34.1875, 47: 34.1875, 48: 34.1875, 49: 34.1875, 50: 34.1875, 51: 34.1875, 52: 34.1875, 53: 34.1875, 54: 34.1875, 55: 34.1875, 56: 34.1875, 57: 34.1875, 58: 34.1875, 59: 34.1875, 60: 34.1875, 61: 34.1875, 62: 34.1875, 63: 34.1875}",2025-03-12 19:25:33.648782
99.8,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 11.1, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 100.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 9.1, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 100.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.625, 1: 34.625, 2: 34.625, 3: 34.625, 4: 34.625, 5: 34.625, 6: 34.625, 7: 34.625, 8: 34.625, 9: 34.625, 10: 34.625, 11: 34.625, 12: 34.625, 13: 34.625, 14: 34.625, 15: 34.625, 16: 34.625, 17: 34.625, 18: 34.625, 19: 34.625, 20: 34.625, 21: 34.625, 22: 34.625, 23: 34.625, 24: 34.625, 25: 34.625, 26: 34.625, 27: 34.625, 28: 34.625, 29: 34.625, 30: 34.625, 31: 34.625, 32: 34.625, 33: 34.625, 34: 34.625, 35: 34.625, 36: 34.625, 37: 34.625, 38: 34.625, 39: 34.625, 40: 34.625, 41: 34.625, 42: 34.625, 43: 34.625, 44: 34.625, 45: 34.625, 46: 34.625, 47: 34.625, 48: 34.625, 49: 34.625, 50: 34.625, 51: 34.625, 52: 34.625, 53: 34.625, 54: 34.625, 55: 34.625, 56: 34.625, 57: 34.625, 58: 34.625, 59: 34.625, 60: 34.625, 61: 34.625, 62: 34.625, 63: 34.625}",2025-03-12 19:25:36.001778
99.9,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 100.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 100.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.375, 1: 34.375, 2: 34.375, 3: 34.375, 4: 34.375, 5: 34.375, 6: 34.375, 7: 34.375, 8: 34.375, 9: 34.375, 10: 34.375, 11: 34.375, 12: 34.375, 13: 34.375, 14: 34.375, 15: 34.375, 16: 34.375, 17: 34.375, 18: 34.375, 19: 34.375, 20: 34.375, 21: 34.375, 22: 34.375, 23: 34.375, 24: 34.375, 25: 34.375, 26: 34.375, 27: 34.375, 28: 34.375, 29: 34.375, 30: 34.375, 31: 34.375, 32: 34.375, 33: 34.375, 34: 34.375, 35: 34.375, 36: 34.375, 37: 34.375, 38: 34.375, 39: 34.375, 40: 34.375, 41: 34.375, 42: 34.375, 43: 34.375, 44: 34.375, 45: 34.375, 46: 34.375, 47: 34.375, 48: 34.375, 49: 34.375, 50: 34.375, 51: 34.375, 52: 34.375, 53: 34.375, 54: 34.375, 55: 34.375, 56: 34.375, 57: 34.375, 58: 34.375, 59: 34.375, 60: 34.375, 61: 34.375, 62: 34.375, 63: 34.375}",2025-03-12 19:25:38.338930
59.9,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 100.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 9.1, 59: 0.0, 60: 0.0, 61: 90.9, 62: 0.0, 63: 0.0}","{0: 33.9375, 1: 33.9375, 2: 33.9375, 3: 33.9375, 4: 33.9375, 5: 33.9375, 6: 33.9375, 7: 33.9375, 8: 33.9375, 9: 33.9375, 10: 33.9375, 11: 33.9375, 12: 33.9375, 13: 33.9375, 14: 33.9375, 15: 33.9375, 16: 33.9375, 17: 33.9375, 18: 33.9375, 19: 33.9375, 20: 33.9375, 21: 33.9375, 22: 33.9375, 23: 33.9375, 24: 33.9375, 25: 33.9375, 26: 33.9375, 27: 33.9375, 28: 33.9375, 29: 33.9375, 30: 33.9375, 31: 33.9375, 32: 33.9375, 33: 33.9375, 34: 33.9375, 35: 33.9375, 36: 33.9375, 37: 33.9375, 38: 33.9375, 39: 33.9375, 40: 33.9375, 41: 33.9375, 42: 33.9375, 43: 33.9375, 44: 33.9375, 45: 33.9375, 46: 33.9375, 47: 33.9375, 48: 33.9375, 49: 33.9375, 50: 33.9375, 51: 33.9375, 52: 33.9375, 53: 33.9375, 54: 33.9375, 55: 33.9375, 56: 33.9375, 57: 33.9375, 58: 33.9375, 59: 33.9375, 60: 33.9375, 61: 33.9375, 62: 33.9375, 63: 33.9375}",2025-03-12 19:25:40.673937
109.8,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 30.0, 17: 0.0, 18: 0.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 9.1, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 55.6, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 100.0, 62: 0.0, 63: 0.0}","{0: 34.625, 1: 34.625, 2: 34.625, 3: 34.625, 4: 34.625, 5: 34.625, 6: 34.625, 7: 34.625, 8: 34.625, 9: 34.625, 10: 34.625, 11: 34.625, 12: 34.625, 13: 34.625, 14: 34.625, 15: 34.625, 16: 34.625, 17: 34.625, 18: 34.625, 19: 34.625, 20: 34.625, 21: 34.625, 22: 34.625, 23: 34.625, 24: 34.625, 25: 34.625, 26: 34.625, 27: 34.625, 28: 34.625, 29: 34.625, 30: 34.625, 31: 34.625, 32: 34.625, 33: 34.625, 34: 34.625, 35: 34.625, 36: 34.625, 37: 34.625, 38: 34.625, 39: 34.625, 40: 34.625, 41: 34.625, 42: 34.625, 43: 34.625, 44: 34.625, 45: 34.625, 46: 34.625, 47: 34.625, 48: 34.625, 49: 34.625, 50: 34.625, 51: 34.625, 52: 34.625, 53: 34.625, 54: 34.625, 55: 34.625, 56: 34.625, 57: 34.625, 58: 34.625, 59: 34.625, 60: 34.625, 61: 34.625, 62: 34.625, 63: 34.625}",2025-03-12 19:25:43.024347
878.0,"{0: 9.1, 1: 10.0, 2: 0.0, 3: 22.2, 4: 22.2, 5: 0.0, 6: 0.0, 7: 0.0, 8: 22.2, 9: 0.0, 10: 22.2, 11: 0.0, 12: 22.2, 13: 0.0, 14: 20.0, 15: 0.0, 16: 0.0, 17: 30.0, 18: 22.2, 19: 0.0, 20: 0.0, 21: 30.0, 22: 22.2, 23: 20.0, 24: 22.2, 25: 22.2, 26: 0.0, 27: 22.2, 28: 27.3, 29: 22.2, 30: 27.3, 31: 20.0, 32: 0.0, 33: 81.8, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 30.0, 39: 27.3, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 100.0, 49: 0.0, 50: 20.0, 51: 22.2, 52: 20.0, 53: 30.0, 54: 20.0, 55: 0.0, 56: 20.0, 57: 20.0, 58: 20.0, 59: 30.0, 60: 0.0, 61: 0.0, 62: 30.0, 63: 27.3}","{0: 34.4375, 1: 34.4375, 2: 34.4375, 3: 34.4375, 4: 34.4375, 5: 34.4375, 6: 34.4375, 7: 34.4375, 8: 34.4375, 9: 34.4375, 10: 34.4375, 11: 34.4375, 12: 34.4375, 13: 34.4375, 14: 34.4375, 15: 34.4375, 16: 34.4375, 17: 34.4375, 18: 34.4375, 19: 34.4375, 20: 34.4375, 21: 34.4375, 22: 34.4375, 23: 34.4375, 24: 34.4375, 25: 34.4375, 26: 34.4375, 27: 34.4375, 28: 34.4375, 29: 34.4375, 30: 34.4375, 31: 34.4375, 32: 34.4375, 33: 34.4375, 34: 34.4375, 35: 34.4375, 36: 34.4375, 37: 34.4375, 38: 34.4375, 39: 34.4375, 40: 34.4375, 41: 34.4375, 42: 34.4375, 43: 34.4375, 44: 34.4375, 45: 34.4375, 46: 34.4375, 47: 34.4375, 48: 34.4375, 49: 34.4375, 50: 34.4375, 51: 34.4375, 52: 34.4375, 53: 34.4375, 54: 34.4375, 55: 34.4375, 56: 34.4375, 57: 34.4375, 58: 34.4375, 59: 34.4375, 60: 34.4375, 61: 34.4375, 62: 34.4375, 63: 34.4375}",2025-03-12 19:25:45.363170
