timestamp,index,timestamp,name,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,power.draw,fan.speed,pstate,clocks.current.graphics,clocks.current.memory
2025-03-12 19:26:47.159635,4,2025/03/12 19:26:47.152,Quadro RTX 8000,62,77,66,49152,10529,38063,251.88,33,P2,1875,6500
2025-03-12 19:26:49.494260,4,2025/03/12 19:26:49.487,Quadro RTX 8000,63,78,68,49152,10529,38063,230.90,34,P2,1860,6500
2025-03-12 19:26:51.815538,4,2025/03/12 19:26:51.809,Quadro RTX 8000,64,79,71,49152,10529,38063,250.31,34,P2,1845,6500
2025-03-12 19:26:54.155236,4,2025/03/12 19:26:54.147,Quadro RTX 8000,63,96,90,49152,10529,38063,253.59,35,P2,1860,6500
2025-03-12 19:26:56.497322,4,2025/03/12 19:26:56.490,Quadro RTX 8000,64,92,86,49152,10529,38063,259.63,35,P2,1845,6500
2025-03-12 19:26:58.837543,4,2025/03/12 19:26:58.830,Quadro RTX 8000,64,98,92,49152,10529,38063,261.11,35,P2,1845,6500
2025-03-12 19:27:01.172659,4,2025/03/12 19:27:01.159,Quadro RTX 8000,64,98,92,49152,10529,38063,256.57,36,P2,1860,6500
2025-03-12 19:27:03.508990,4,2025/03/12 19:27:03.502,Quadro RTX 8000,64,82,73,49152,10529,38063,253.50,36,P2,1860,6500
2025-03-12 19:27:05.842443,4,2025/03/12 19:27:05.836,Quadro RTX 8000,65,80,69,49152,10529,38063,235.89,37,P2,1860,6500
2025-03-12 19:27:08.181668,4,2025/03/12 19:27:08.175,Quadro RTX 8000,65,56,48,49152,10529,38063,227.39,37,P2,1860,6500
2025-03-12 19:27:10.520399,4,2025/03/12 19:27:10.510,Quadro RTX 8000,65,86,78,49152,10529,38063,255.17,37,P2,1860,6500
2025-03-12 19:27:12.872564,4,2025/03/12 19:27:12.863,Quadro RTX 8000,65,98,91,49152,10529,38063,260.29,37,P2,1845,6500
2025-03-12 19:27:15.209970,4,2025/03/12 19:27:15.200,Quadro RTX 8000,66,98,92,49152,10529,38063,258.19,38,P2,1845,6500
2025-03-12 19:27:17.534458,4,2025/03/12 19:27:17.526,Quadro RTX 8000,66,98,92,49152,10529,38063,257.14,38,P2,1845,6500
2025-03-12 19:27:19.883006,4,2025/03/12 19:27:19.873,Quadro RTX 8000,65,97,91,49152,10529,38063,258.91,38,P2,1875,6500
