Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,33.35,2657.3725,33.1875,2
1,38.35,2695.2315,33.1875,2
2,41.05,2905.6684999999998,33.1875,2
3,32.95,2663.923,33.1875,2
4,40.65,2658.86,33.1875,2
5,34.0,2706.0405,33.1875,2
6,39.6,2899.2619999999997,33.1875,2
7,21.9,2627.6275,33.1875,2
8,31.6,2373.4205,33.1875,2
9,47.0,3003.399,33.1875,2
10,58.45,2481.5175,33.1875,2
11,28.15,2832.87,33.1875,2
12,43.0,2831.6335,33.1875,2
13,44.5,2837.3295,33.1875,2
14,31.950000000000003,2404.9015,33.1875,2
15,65.65,3013.3379999999997,33.1875,2
16,34.65,2642.1765,33.1875,2
17,23.0,2621.7645,33.1875,2
18,24.0,2916.232,33.1875,2
19,32.9,2503.8059999999996,33.1875,2
20,20.9,2632.589,33.1875,2
21,29.25,2415.3775,33.1875,2
22,22.0,2913.397,33.1875,2
23,45.5,2596.304,33.1875,2
24,42.7,2425.827,33.1875,2
25,30.1,3277.5245,33.1875,2
26,36.0,2523.495,33.1875,2
27,31.6,2611.9215,33.1875,2
28,32.9,2787.013,33.1875,2
29,32.0,2756.127,33.1875,2
30,43.0,2399.9719999999998,33.1875,2
31,40.75,3127.8455000000004,33.1875,2
