Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,8.95,2586.2555,33.625,2
1,12.5,2730.1525,33.625,2
2,7.95,2741.5325000000003,33.625,2
3,7.9,2552.811,33.625,2
4,27.3,3022.2225,33.625,2
5,8.95,2635.2515,33.625,2
6,7.45,2792.4545,33.625,2
7,7.45,2632.3905,33.625,2
8,9.0,2602.2905,33.625,2
9,9.95,2800.6405,33.625,2
10,8.5,2757.2925,33.625,2
11,48.1,2974.9295,33.625,2
12,8.95,2731.7095,33.625,2
13,28.5,2838.5240000000003,33.625,2
14,9.05,2768.7529999999997,33.625,2
15,10.0,2586.759,33.625,2
16,7.5,2569.3955,33.625,2
17,29.25,2847.9764999999998,33.625,2
18,7.0,2703.615,33.625,2
19,7.1,2557.883,33.625,2
20,8.55,2832.6445000000003,33.625,2
21,7.55,2680.25,33.625,2
22,8.45,2682.3615,33.625,2
23,8.55,2697.7065000000002,33.625,2
24,9.55,2517.3555,33.625,2
25,32.5,2757.9225,33.625,2
26,9.55,2580.5945,33.625,2
27,15.5,2789.9295,33.625,2
28,9.05,2663.875,33.625,2
29,9.05,2783.528,33.625,2
30,11.55,3010.4365,33.625,2
31,11.55,2672.2365,33.625,2
