CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
0.0,"svmem(total=540894633984, available=514312085504, percent=4.9, used=23042084864, free=368899649536, active=57827160064, inactive=103241269248, buffers=2552180736, cached=146400718848, shared=39157760, slab=7680192512)","sdiskusage(total=938517508096, used=394182561792, free=496585416704, percent=44.3)",-1,2025-03-12 20:19:15.168328
99.6,"svmem(total=540894633984, available=514003173376, percent=5.0, used=23350992896, free=368590712832, active=58135642112, inactive=103241261056, buffers=2552184832, cached=146400743424, shared=39157760, slab=7681441792)","sdiskusage(total=938517508096, used=394182578176, free=496585400320, percent=44.3)",-1,2025-03-12 20:19:17.493670
100.6,"svmem(total=540894633984, available=513275371520, percent=5.1, used=24078778368, free=367862902784, active=58836271104, inactive=103241269248, buffers=2552184832, cached=146400768000, shared=39157760, slab=7682523136)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:19.817723
98.4,"svmem(total=540894633984, available=512851296256, percent=5.2, used=24502841344, free=367438815232, active=59258724352, inactive=103241285632, buffers=2552184832, cached=146400792576, shared=39161856, slab=7682097152)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:22.149351
100.6,"svmem(total=540894633984, available=512524582912, percent=5.2, used=24829579264, free=367112028160, active=59587694592, inactive=103241326592, buffers=2552184832, cached=146400841728, shared=39161856, slab=7682162688)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:24.491715
100.0,"svmem(total=540894633984, available=510988877824, percent=5.5, used=26350596096, free=365576314880, active=61019033600, inactive=103255982080, buffers=2552184832, cached=146415538176, shared=53809152, slab=7689371648)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:26.829297
100.4,"svmem(total=540894633984, available=510253539328, percent=5.7, used=27085426688, free=364840779776, active=61709344768, inactive=103256629248, buffers=2552184832, cached=146416242688, shared=54366208, slab=7690477568)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:19:29.172997
77.0,"svmem(total=540894633984, available=509586612224, percent=5.8, used=27750514688, free=364173832192, active=62408699904, inactive=103258464256, buffers=2552193024, cached=146418094080, shared=56205312, slab=7690104832)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:31.516312
486.4,"svmem(total=540894633984, available=508709224448, percent=6.0, used=28627922944, free=363296374784, active=63286730752, inactive=103258513408, buffers=2552193024, cached=146418143232, shared=56205312, slab=7692222464)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:33.821574
285.0,"svmem(total=540894633984, available=506931036160, percent=6.3, used=30406045696, free=361518141440, active=65019633664, inactive=103258615808, buffers=2552193024, cached=146418253824, shared=56262656, slab=7692886016)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:19:36.152243
742.3,"svmem(total=540894633984, available=507004313600, percent=6.3, used=30332796928, free=361591169024, active=64987156480, inactive=103258578944, buffers=2552197120, cached=146418470912, shared=56205312, slab=7692599296)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:38.489187
924.1,"svmem(total=540894633984, available=507005267968, percent=6.3, used=30331850752, free=361592090624, active=64987578368, inactive=103258611712, buffers=2552197120, cached=146418495488, shared=56205312, slab=7692419072)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:40.827437
653.0,"svmem(total=540894633984, available=506921857024, percent=6.3, used=30407692288, free=361508495360, active=65024495616, inactive=103266619392, buffers=2552205312, cached=146426241024, shared=63803392, slab=7693111296)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:19:43.164470
906.4,"svmem(total=540894633984, available=506999828480, percent=6.3, used=30337318912, free=361586417664, active=64989528064, inactive=103258701824, buffers=2552205312, cached=146418692096, shared=56205312, slab=7692283904)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:45.506290
655.8,"svmem(total=540894633984, available=506998145024, percent=6.3, used=30338985984, free=361584734208, active=64990126080, inactive=103258701824, buffers=2552205312, cached=146418708480, shared=56205312, slab=7692939264)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:47.831114
757.4,"svmem(total=540894633984, available=506922717184, percent=6.3, used=30408163328, free=361509249024, active=65021972480, inactive=103264952320, buffers=2552213504, cached=146425008128, shared=62455808, slab=7693000704)","sdiskusage(total=938517508096, used=394182594560, free=496585383936, percent=44.3)",-1,2025-03-12 20:19:50.161328
901.0,"svmem(total=540894633984, available=506997403648, percent=6.3, used=30339743744, free=361583943680, active=64990629888, inactive=103258808320, buffers=2552213504, cached=146418733056, shared=56205312, slab=7691952128)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:52.495788
936.6,"svmem(total=540894633984, available=506999463936, percent=6.3, used=30337675264, free=361585987584, active=64990822400, inactive=103258824704, buffers=2552213504, cached=146418757632, shared=56205312, slab=7691509760)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:54.821891
807.0,"svmem(total=540894633984, available=506947428352, percent=6.3, used=30389645312, free=361533894656, active=65006325760, inactive=103258894336, buffers=2552225792, cached=146418868224, shared=56262656, slab=7693053952)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:57.180885
668.8,"svmem(total=540894633984, available=506998714368, percent=6.3, used=30338424832, free=361585360896, active=64991870976, inactive=103258849280, buffers=2552225792, cached=146418622464, shared=56205312, slab=7692439552)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:19:59.518383
536.8,"svmem(total=540894633984, available=506997743616, percent=6.3, used=30339358720, free=361584324608, active=64991895552, inactive=103258882048, buffers=2552233984, cached=146418716672, shared=56205312, slab=7692554240)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:01.841514
653.0,"svmem(total=540894633984, available=506996772864, percent=6.3, used=30340329472, free=361583337472, active=64992624640, inactive=103258898432, buffers=2552233984, cached=146418733056, shared=56205312, slab=7692619776)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:04.147700
719.5,"svmem(total=540894633984, available=506987139072, percent=6.3, used=30349979648, free=361573670912, active=65002250240, inactive=103258923008, buffers=2552233984, cached=146418749440, shared=56205312, slab=7692767232)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:06.476917
810.5,"svmem(total=540894633984, available=506985816064, percent=6.3, used=30351298560, free=361572302848, active=65001652224, inactive=103258968064, buffers=2552233984, cached=146418798592, shared=56205312, slab=7692832768)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:08.800545
912.7,"svmem(total=540894633984, available=506983215104, percent=6.3, used=30353858560, free=361569693696, active=65002090496, inactive=103258976256, buffers=2552233984, cached=146418847744, shared=56205312, slab=7692345344)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:11.133481
739.5,"svmem(total=540894633984, available=506980831232, percent=6.3, used=30356267008, free=361567277056, active=65002053632, inactive=103259009024, buffers=2552233984, cached=146418855936, shared=56205312, slab=7692951552)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:13.466744
682.1,"svmem(total=540894633984, available=506967158784, percent=6.3, used=30369931264, free=361553588224, active=65019785216, inactive=103259025408, buffers=2552233984, cached=146418880512, shared=56205312, slab=7692967936)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:20:15.789271
