CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
0.0,"svmem(total=540894633984, available=521788461056, percent=3.5, used=15582810112, free=376605208576, active=33689931776, inactive=119878471680, buffers=2550448128, cached=146156167168, shared=22102016, slab=7652274176)","sdiskusage(total=938517508096, used=394182524928, free=496585453568, percent=44.3)",-1,2025-03-12 19:25:23.076926
100.5,"svmem(total=540894633984, available=521474314240, percent=3.6, used=15896952832, free=376291053568, active=34001174528, inactive=119878479872, buffers=2550452224, cached=146156175360, shared=22102016, slab=7653396480)","sdiskusage(total=938517508096, used=394182541312, free=496585437184, percent=44.3)",-1,2025-03-12 19:25:25.401047
99.8,"svmem(total=540894633984, available=520733200384, percent=3.7, used=16638058496, free=375549931520, active=34711347200, inactive=119878488064, buffers=2550452224, cached=146156191744, shared=22102016, slab=7655251968)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:27.717686
100.7,"svmem(total=540894633984, available=520335990784, percent=3.8, used=17035251712, free=375152717824, active=35107454976, inactive=119878496256, buffers=2550452224, cached=146156212224, shared=22106112, slab=7654891520)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:30.058126
100.1,"svmem(total=540894633984, available=520009621504, percent=3.9, used=17361608704, free=374826348544, active=35432677376, inactive=119878496256, buffers=2550456320, cached=146156220416, shared=22106112, slab=7654830080)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:32.395715
97.2,"svmem(total=540894633984, available=518609108992, percent=4.1, used=18747482112, free=373425819648, active=36730556416, inactive=119893159936, buffers=2550456320, cached=146170875904, shared=36753408, slab=7660191744)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:34.737611
100.4,"svmem(total=540894633984, available=517767503872, percent=4.3, used=19588780032, free=372584214528, active=37567197184, inactive=119893458944, buffers=2550456320, cached=146171183104, shared=37052416, slab=7661817856)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:37.079549
99.5,"svmem(total=540894633984, available=517045207040, percent=4.4, used=20308987904, free=371861901312, active=38284247040, inactive=119895572480, buffers=2550456320, cached=146173288448, shared=39149568, slab=7661408256)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:39.417726
237.4,"svmem(total=540894633984, available=516386955264, percent=4.5, used=20967256064, free=371203559424, active=38942482432, inactive=119895597056, buffers=2550464512, cached=146173353984, shared=39149568, slab=7663497216)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:41.757895
762.8,"svmem(total=540894633984, available=514844127232, percent=4.8, used=22510075904, free=369660727296, active=40490295296, inactive=119883984896, buffers=2550464512, cached=146173366272, shared=39149568, slab=7664152576)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:44.105013
1423.7,"svmem(total=540894633984, available=514839257088, percent=4.8, used=22514933760, free=369655848960, active=40491474944, inactive=119883988992, buffers=2550472704, cached=146173378560, shared=39149568, slab=7664148480)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:46.450418
1305.9,"svmem(total=540894633984, available=514835791872, percent=4.8, used=22518398976, free=369652375552, active=40494018560, inactive=119883988992, buffers=2550472704, cached=146173386752, shared=39149568, slab=7664148480)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:48.783816
542.9,"svmem(total=540894633984, available=514825175040, percent=4.8, used=22529040384, free=369641635840, active=40495525888, inactive=119884038144, buffers=2550472704, cached=146173485056, shared=39149568, slab=7663693824)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:51.125990
1378.8,"svmem(total=540894633984, available=514823163904, percent=4.8, used=22531051520, free=369639616512, active=40497721344, inactive=119884046336, buffers=2550472704, cached=146173493248, shared=39149568, slab=7663726592)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:53.470939
1433.7,"svmem(total=540894633984, available=514820456448, percent=4.8, used=22533734400, free=369636909056, active=40501030912, inactive=119884046336, buffers=2550484992, cached=146173505536, shared=39149568, slab=7663448064)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:55.808596
363.0,"svmem(total=540894633984, available=514817126400, percent=4.8, used=22537064448, free=369633308672, active=40503455744, inactive=119884087296, buffers=2550484992, cached=146173775872, shared=39149568, slab=7663779840)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:25:58.154084
1491.6,"svmem(total=540894633984, available=514813280256, percent=4.8, used=22540918784, free=369629446144, active=40505507840, inactive=119884103680, buffers=2550484992, cached=146173784064, shared=39149568, slab=7663779840)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:00.494359
1434.8,"svmem(total=540894633984, available=514805596160, percent=4.8, used=22548606976, free=369621737472, active=40508329984, inactive=119884103680, buffers=2550497280, cached=146173792256, shared=39149568, slab=7663730688)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:02.837879
313.2,"svmem(total=540894633984, available=514798911488, percent=4.8, used=22555013120, free=369614905344, active=40511410176, inactive=119884288000, buffers=2550497280, cached=146174218240, shared=39436288, slab=7663497216)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:05.178263
1726.2,"svmem(total=540894633984, available=514798780416, percent=4.8, used=22555430912, free=369614733312, active=40511397888, inactive=119884161024, buffers=2550497280, cached=146173972480, shared=39149568, slab=7663370240)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:07.533045
1519.3,"svmem(total=540894633984, available=514798522368, percent=4.8, used=22555688960, free=369614467072, active=40510885888, inactive=119884169216, buffers=2550497280, cached=146173980672, shared=39149568, slab=7662829568)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:09.867267
827.5,"svmem(total=540894633984, available=514735714304, percent=4.8, used=22610694144, free=369551642624, active=40530374656, inactive=119891734528, buffers=2550509568, cached=146181787648, shared=46948352, slab=7663951872)","sdiskusage(total=938517508096, used=394182557696, free=496585420800, percent=44.3)",-1,2025-03-12 19:26:12.192596
1726.9,"svmem(total=540894633984, available=514794360832, percent=4.8, used=22559858688, free=369610006528, active=40510980096, inactive=119884226560, buffers=2550509568, cached=146174259200, shared=39149568, slab=7663063040)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:14.528780
1503.3,"svmem(total=540894633984, available=514794156032, percent=4.8, used=22560055296, free=369609801728, active=40511180800, inactive=119884226560, buffers=2550509568, cached=146174267392, shared=39149568, slab=7663063040)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:16.868622
987.9,"svmem(total=540894633984, available=514739290112, percent=4.8, used=22608658432, free=369554927616, active=40529305600, inactive=119890391040, buffers=2550521856, cached=146180526080, shared=45400064, slab=7663595520)","sdiskusage(total=938517508096, used=394182557696, free=496585420800, percent=44.3)",-1,2025-03-12 19:26:19.204100
536.1,"svmem(total=540894633984, available=514663415808, percent=4.8, used=22690791424, free=369473753088, active=40650063872, inactive=119889424384, buffers=2550521856, cached=146179567616, shared=39149568, slab=7664091136)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:21.538307
263.0,"svmem(total=540894633984, available=514658353152, percent=4.9, used=22695825408, free=369468637184, active=40653594624, inactive=119889477632, buffers=2550521856, cached=146179649536, shared=39149568, slab=7664631808)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:23.866413
367.2,"svmem(total=540894633984, available=514655997952, percent=4.9, used=22698160128, free=369466281984, active=40653279232, inactive=119889477632, buffers=2550534144, cached=146179657728, shared=39149568, slab=7664631808)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:26.196855
100.7,"svmem(total=540894633984, available=514354479104, percent=4.9, used=22999683072, free=369164750848, active=40963903488, inactive=119880290304, buffers=2550534144, cached=146179665920, shared=39149568, slab=7664599040)","sdiskusage(total=938517508096, used=394182549504, free=496585428992, percent=44.3)",-1,2025-03-12 19:26:28.532829
