Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,17.2,2757.691,34.4375,2
1,19.6,2735.2915,34.4375,2
2,21.5,3040.2135,34.4375,2
3,18.6,2728.7065000000002,34.4375,2
4,15.6,2786.4314999999997,34.4375,2
5,16.4,2720.62,34.4375,2
6,46.35,3298.8869999999997,34.4375,2
7,17.15,2792.6765,34.4375,2
8,30.200000000000003,2394.5969999999998,34.4375,2
9,21.0,2775.798,34.4375,2
10,40.25,3002.383,34.4375,2
11,26.2,3033.6549999999997,34.4375,2
12,30.75,2640.7955,34.4375,2
13,23.0,2967.156,34.4375,2
14,38.2,2384.3085,34.4375,2
15,27.1,2750.557,34.4375,2
16,15.75,2766.2430000000004,34.4375,2
17,18.1,2739.227,34.4375,2
18,17.4,2250.6499999999996,34.4375,2
19,24.95,3264.9985,34.4375,2
20,19.4,3295.983,34.4375,2
21,22.5,2768.656,34.4375,2
22,22.0,3298.1745,34.4375,2
23,16.15,2787.669,34.4375,2
24,26.75,2394.8015,34.4375,2
25,42.75,2660.9440000000004,34.4375,2
26,38.85,2742.375,34.4375,2
27,28.35,3033.8365,34.4375,2
28,26.1,2867.6025,34.4375,2
29,27.35,3048.9595,34.4375,2
30,22.0,2371.421,34.4375,2
31,24.3,2743.9655000000002,34.4375,2
