Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,13.85,2508.916,36.0625,2
1,7.35,2508.1925,36.0625,2
2,7.45,2910.291,36.0625,2
3,13.55,3282.505,36.0625,2
4,6.45,3060.69,36.0625,2
5,7.45,3301.779,36.0625,2
6,49.8,2711.797,36.0625,2
7,13.05,2605.9985,36.0625,2
8,0.0,2005.409,36.0625,2
9,1.0,2842.7870000000003,36.0625,2
10,7.45,2383.0255,36.0625,2
11,21.85,2475.7105,36.0625,2
12,6.95,2386.968,36.0625,2
13,0.0,1498.949,36.0625,2
14,7.05,2390.132,36.0625,2
15,7.0,2383.767,36.0625,2
16,6.85,3293.0164999999997,36.0625,2
17,14.8,3304.3875,36.0625,2
18,15.3,3294.9565000000002,36.0625,2
19,13.45,3295.125,36.0625,2
20,13.45,3290.8595,36.0625,2
21,14.45,3301.535,36.0625,2
22,13.0,2748.609,36.0625,2
23,13.5,3301.9735,36.0625,2
24,7.95,2385.0775,36.0625,2
25,34.85,3290.7799999999997,36.0625,2
26,0.0,2374.28,36.0625,2
27,0.0,2733.7915,36.0625,2
28,0.0,2381.4395,36.0625,2
29,0.0,1498.272,36.0625,2
30,0.0,2375.385,36.0625,2
31,0.0,2375.92,36.0625,2
