Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,22.45,3083.3275000000003,35.5625,2
1,44.7,2953.911,35.5625,2
2,12.5,2676.892,35.5625,2
3,28.0,2594.0735,35.5625,2
4,22.75,2595.6735,35.5625,2
5,22.2,3168.901,35.5625,2
6,21.3,3267.0085,35.5625,2
7,10.5,2721.7934999999998,35.5625,2
8,21.9,2473.9175,35.5625,2
9,41.0,1878.9424999999999,35.5625,2
10,22.0,2288.0055,35.5625,2
11,43.65,3006.188,35.5625,2
12,32.5,2378.065,35.5625,2
13,19.65,2240.7955,35.5625,2
14,27.65,3185.745,35.5625,2
15,30.2,3148.6009999999997,35.5625,2
16,44.95,3147.6095,35.5625,2
17,9.1,2986.8355,35.5625,2
18,44.15,3229.41,35.5625,2
19,44.75,3178.2165,35.5625,2
20,44.15,3188.8725000000004,35.5625,2
21,44.2,3179.0519999999997,35.5625,2
22,43.95,3241.5190000000002,35.5625,2
23,42.2,3187.1935000000003,35.5625,2
24,35.95,2472.5625,35.5625,2
25,0.5,1884.297,35.5625,2
26,0.0,1784.574,35.5625,2
27,0.0,2728.768,35.5625,2
28,0.5,1942.3029999999999,35.5625,2
29,0.0,2360.7455,35.5625,2
30,8.5,3232.473,35.5625,2
31,0.0,1856.9630000000002,35.5625,2
