Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,12.1,3156.0919999999996,36.6875,2
1,43.05,2359.9865,36.6875,2
2,6.45,3297.0585,36.6875,2
3,6.0,3298.6255,36.6875,2
4,1.0,3163.761,36.6875,2
5,6.0,3298.139,36.6875,2
6,6.05,3298.109,36.6875,2
7,12.05,3296.4970000000003,36.6875,2
8,8.45,1652.9355,36.6875,2
9,7.05,2338.898,36.6875,2
10,24.0,3112.6175,36.6875,2
11,22.0,2355.826,36.6875,2
12,4.9,3303.0305,36.6875,2
13,10.95,3297.531,36.6875,2
14,6.5,3302.3945000000003,36.6875,2
15,6.0,3300.1835,36.6875,2
16,13.15,3293.2349999999997,36.6875,2
17,10.45,2379.428,36.6875,2
18,6.05,3299.0985,36.6875,2
19,12.55,3297.6295,36.6875,2
20,8.5,3286.6835,36.6875,2
21,12.5,3297.55,36.6875,2
22,5.5,3012.6445000000003,36.6875,2
23,16.1,3298.8455,36.6875,2
24,0.5,1507.808,36.6875,2
25,0.0,2384.671,36.6875,2
26,13.85,3272.176,36.6875,2
27,0.0,2376.4880000000003,36.6875,2
28,32.75,3291.0550000000003,36.6875,2
29,21.5,3293.371,36.6875,2
30,6.45,3301.718,36.6875,2
31,5.95,3293.3795,36.6875,2
