Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,14.05,2838.0185,34.3125,2
1,23.9,2353.666,34.3125,2
2,18.0,2266.397,34.3125,2
3,17.1,2883.61,34.3125,2
4,18.5,2593.892,34.3125,2
5,17.65,2329.3475,34.3125,2
6,19.5,3261.9555,34.3125,2
7,21.6,2609.3469999999998,34.3125,2
8,19.15,3279.795,34.3125,2
9,16.65,2388.8365,34.3125,2
10,16.0,2831.0945,34.3125,2
11,22.5,2477.0585,34.3125,2
12,16.0,2579.944,34.3125,2
13,33.65,3298.0995000000003,34.3125,2
14,23.5,2823.567,34.3125,2
15,17.1,2398.0595,34.3125,2
16,53.6,3296.3595,34.3125,2
17,21.9,3034.772,34.3125,2
18,18.6,2747.304,34.3125,2
19,16.5,3295.982,34.3125,2
20,18.9,3292.0820000000003,34.3125,2
21,19.45,3277.8535,34.3125,2
22,16.75,3297.834,34.3125,2
23,50.7,2716.4134999999997,34.3125,2
24,43.1,3288.5405,34.3125,2
25,17.3,2779.9139999999998,34.3125,2
26,36.15,3298.6594999999998,34.3125,2
27,39.2,3299.112,34.3125,2
28,16.1,2750.172,34.3125,2
29,12.0,3299.322,34.3125,2
30,18.0,3298.042,34.3125,2
31,17.5,3300.5805,34.3125,2
