Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,25.4,3110.2775,35.5625,2
1,43.0,2644.375,35.5625,2
2,26.65,3090.757,35.5625,2
3,46.15,2453.5515,35.5625,2
4,20.5,2916.926,35.5625,2
5,23.35,3122.3630000000003,35.5625,2
6,24.85,2027.1585,35.5625,2
7,25.7,2336.7615,35.5625,2
8,26.9,2040.6325000000002,35.5625,2
9,27.5,2450.8985000000002,35.5625,2
10,25.0,3101.0045,35.5625,2
11,28.049999999999997,3136.2975,35.5625,2
12,23.25,2753.3940000000002,35.5625,2
13,24.0,2400.3175,35.5625,2
14,25.15,2745.5665,35.5625,2
15,62.0,2404.2195,35.5625,2
16,26.55,2731.696,35.5625,2
17,25.15,2606.0195,35.5625,2
18,41.2,3069.9865,35.5625,2
19,25.55,2337.008,35.5625,2
20,25.45,2938.4305,35.5625,2
21,25.0,3143.1059999999998,35.5625,2
22,26.15,2028.185,35.5625,2
23,41.85,2665.6355,35.5625,2
24,41.5,2401.6589999999997,35.5625,2
25,26.5,1992.7624999999998,35.5625,2
26,20.6,2744.5699999999997,35.5625,2
27,43.0,2380.942,35.5625,2
28,46.0,2811.4855,35.5625,2
29,26.85,2572.6075,35.5625,2
30,42.4,2745.215,35.5625,2
31,21.55,2666.9435000000003,35.5625,2
