Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,14.2,3296.755,37.625,2
1,19.35,3293.5905000000002,37.625,2
2,7.65,2172.559,37.625,2
3,20.3,2727.8955,37.625,2
4,5.5,3296.8320000000003,37.625,2
5,5.9,3299.4085,37.625,2
6,20.9,1648.186,37.625,2
7,5.5,3299.4755,37.625,2
8,3.5,3296.9494999999997,37.625,2
9,3.0,3300.407,37.625,2
10,6.05,3294.094,37.625,2
11,27.5,2381.3015,37.625,2
12,25.2,2381.33,37.625,2
13,18.8,3297.3605,37.625,2
14,0.0,3305.3684999999996,37.625,2
15,2.95,3298.63,37.625,2
16,0.5,3306.2799999999997,37.625,2
17,0.5,3141.7985,37.625,2
18,12.1,2092.219,37.625,2
19,5.55,2418.7690000000002,37.625,2
20,0.0,3296.0474999999997,37.625,2
21,3.95,3301.166,37.625,2
22,0.0,1724.7165,37.625,2
23,0.5,3301.3824999999997,37.625,2
24,2.95,3297.1195,37.625,2
25,24.45,3298.7349999999997,37.625,2
26,3.5,3290.0095,37.625,2
27,0.0,2376.7200000000003,37.625,2
28,0.0,2384.042,37.625,2
29,18.5,3296.8575,37.625,2
30,5.5,3297.1365,37.625,2
31,5.0,3297.0695,37.625,2
