Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,24.0,2952.0935,35.625,2
1,19.05,2719.6,35.625,2
2,20.8,2620.2889999999998,35.625,2
3,16.8,2703.1805,35.625,2
4,16.25,2882.4494999999997,35.625,2
5,18.5,2676.5795,35.625,2
6,25.7,3020.516,35.625,2
7,25.9,2553.514,35.625,2
8,20.200000000000003,2638.482,35.625,2
9,46.9,2877.725,35.625,2
10,22.35,2882.33,35.625,2
11,20.5,2500.5074999999997,35.625,2
12,23.1,2444.9425,35.625,2
13,44.6,2852.2765,35.625,2
14,35.15,2894.0795,35.625,2
15,23.4,2993.4449999999997,35.625,2
16,42.4,2864.3284999999996,35.625,2
17,17.0,2553.0765,35.625,2
18,20.0,2565.5615,35.625,2
19,20.5,2542.1625,35.625,2
20,22.5,2711.5344999999998,35.625,2
21,18.1,2538.138,35.625,2
22,51.6,3103.7255,35.625,2
23,19.0,2609.4965,35.625,2
24,47.0,3040.6310000000003,35.625,2
25,27.200000000000003,2901.205,35.625,2
26,20.5,2607.8105,35.625,2
27,18.0,2601.9745,35.625,2
28,23.85,2455.5060000000003,35.625,2
29,12.4,2772.6075,35.625,2
30,19.1,2796.0535,35.625,2
31,21.5,2744.1800000000003,35.625,2
