Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,10.6,2849.342,33.625,2
1,22.9,2391.7835,33.625,2
2,28.15,3234.689,33.625,2
3,24.85,2923.147,33.625,2
4,21.5,3161.277,33.625,2
5,17.4,3101.3915,33.625,2
6,17.15,3296.3334999999997,33.625,2
7,27.65,3296.274,33.625,2
8,10.6,2492.7084999999997,33.625,2
9,21.6,2727.1915,33.625,2
10,30.5,2741.8595,33.625,2
11,32.8,3299.342,33.625,2
12,58.0,3285.5434999999998,33.625,2
13,16.5,3082.754,33.625,2
14,22.85,3252.939,33.625,2
15,15.05,3056.2309999999998,33.625,2
16,17.05,2942.4805,33.625,2
17,21.8,3299.6040000000003,33.625,2
18,27.700000000000003,3074.7455,33.625,2
19,10.05,2794.719,33.625,2
20,24.25,3166.1459999999997,33.625,2
21,26.4,3025.4449999999997,33.625,2
22,20.9,3296.2619999999997,33.625,2
23,48.35,3228.3990000000003,33.625,2
24,22.1,2400.297,33.625,2
25,17.4,3296.2405,33.625,2
26,14.05,2545.8705,33.625,2
27,7.5,3046.573,33.625,2
28,13.0,2540.648,33.625,2
29,17.85,3093.4030000000002,33.625,2
30,9.55,2232.532,33.625,2
31,15.9,2392.5635,33.625,2
