Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,25.4,2448.6665000000003,34.625,2
1,23.450000000000003,2878.6215,34.625,2
2,16.55,2495.089,34.625,2
3,23.3,2579.959,34.625,2
4,16.05,2714.7025000000003,34.625,2
5,24.5,2616.931,34.625,2
6,17.5,2754.0275,34.625,2
7,19.4,2543.7115,34.625,2
8,34.35,2750.958,34.625,2
9,25.55,2940.451,34.625,2
10,19.0,2932.942,34.625,2
11,18.85,2768.605,34.625,2
12,19.1,2678.552,34.625,2
13,25.5,2440.8795,34.625,2
14,11.600000000000001,2614.8255,34.625,2
15,39.15,2820.34,34.625,2
16,25.75,2502.3555,34.625,2
17,33.3,3050.0204999999996,34.625,2
18,17.4,2509.3685,34.625,2
19,19.45,2733.446,34.625,2
20,52.05,2924.617,34.625,2
21,10.5,2817.2805,34.625,2
22,23.5,2829.567,34.625,2
23,16.05,2530.4945,34.625,2
24,16.05,2497.3315000000002,34.625,2
25,45.25,3016.7305,34.625,2
26,32.75,2952.55,34.625,2
27,38.65,2748.307,34.625,2
28,25.85,2684.16,34.625,2
29,15.85,2618.8540000000003,34.625,2
30,7.85,2587.3059999999996,34.625,2
31,16.65,2758.915,34.625,2
