Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,22.5,2647.9985,34.5,2
1,19.75,3307.0265,34.5,2
2,51.05,2731.448,34.5,2
3,23.25,2996.4835000000003,34.5,2
4,30.6,2799.4715,34.5,2
5,23.549999999999997,2524.0769999999998,34.5,2
6,20.1,2465.5825,34.5,2
7,18.15,2385.4395,34.5,2
8,37.95,2354.8315000000002,34.5,2
9,29.25,2753.0045,34.5,2
10,17.7,2479.5415,34.5,2
11,42.9,2750.5744999999997,34.5,2
12,21.2,2782.491,34.5,2
13,19.6,3305.6195,34.5,2
14,9.9,1795.6305,34.5,2
15,37.1,3292.8835,34.5,2
16,18.3,2478.7555,34.5,2
17,24.6,3291.6655,34.5,2
18,21.6,2746.1395,34.5,2
19,16.25,3012.5735,34.5,2
20,32.6,3287.501,34.5,2
21,31.299999999999997,2649.53,34.5,2
22,15.6,2473.3940000000002,34.5,2
23,11.5,2379.35,34.5,2
24,23.35,2383.3125,34.5,2
25,40.7,2751.9115,34.5,2
26,15.55,2474.1815,34.5,2
27,13.45,3211.77,34.5,2
28,34.3,2797.909,34.5,2
29,16.45,3297.8050000000003,34.5,2
30,11.5,1710.0504999999998,34.5,2
31,13.5,2981.9165000000003,34.5,2
