Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,23.4,2922.6049999999996,33.75,2
1,19.6,3298.3265,33.75,2
2,19.9,3299.2309999999998,33.75,2
3,20.5,3307.479,33.75,2
4,25.5,2881.2434999999996,33.75,2
5,38.2,3272.52,33.75,2
6,27.9,3271.885,33.75,2
7,24.0,2731.152,33.75,2
8,18.6,2375.9345000000003,33.75,2
9,22.95,2576.594,33.75,2
10,22.4,3300.943,33.75,2
11,18.4,3306.152,33.75,2
12,21.5,3307.774,33.75,2
13,24.95,3300.784,33.75,2
14,23.9,3305.7304999999997,33.75,2
15,23.05,2847.05,33.75,2
16,21.85,2781.0935,33.75,2
17,23.3,3296.5805,33.75,2
18,20.4,3305.0735,33.75,2
19,22.6,3298.889,33.75,2
20,20.9,3296.8595,33.75,2
21,25.0,3294.3295,33.75,2
22,39.699999999999996,3276.1400000000003,33.75,2
23,57.55,2719.307,33.75,2
24,37.0,2277.352,33.75,2
25,14.55,2588.6665,33.75,2
26,36.0,3273.817,33.75,2
27,40.3,3304.702,33.75,2
28,23.1,3299.7889999999998,33.75,2
29,22.5,3298.9425,33.75,2
30,22.0,2835.157,33.75,2
31,21.35,3305.37,33.75,2
