Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,23.55,2358.297,35.875,2
1,25.05,2924.117,35.875,2
2,58.65,2553.8635,35.875,2
3,23.1,2713.2830000000004,35.875,2
4,52.25,2838.304,35.875,2
5,18.7,2967.6544999999996,35.875,2
6,17.6,3295.9575,35.875,2
7,21.5,3016.1075,35.875,2
8,24.1,2605.362,35.875,2
9,27.35,2724.7575,35.875,2
10,21.8,3297.7035,35.875,2
11,24.0,2456.926,35.875,2
12,35.6,3299.2070000000003,35.875,2
13,22.85,2768.8715,35.875,2
14,24.3,2558.474,35.875,2
15,36.5,2561.5945,35.875,2
16,22.0,2350.1545,35.875,2
17,21.4,2717.7185,35.875,2
18,22.0,2546.964,35.875,2
19,20.2,2903.0645,35.875,2
20,30.35,2987.283,35.875,2
21,17.5,2968.3965,35.875,2
22,20.9,3296.1485000000002,35.875,2
23,21.8,3034.352,35.875,2
24,42.2,2603.5355,35.875,2
25,35.25,2923.6,35.875,2
26,45.7,3297.33,35.875,2
27,24.75,2256.554,35.875,2
28,22.25,3298.8745,35.875,2
29,19.1,2968.9865,35.875,2
30,19.5,2571.6865,35.875,2
31,23.1,2955.7934999999998,35.875,2
