Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,11.75,1499.5230000000001,38.0625,2
1,5.0,1649.863,38.0625,2
2,3.55,1636.694,38.0625,2
3,8.0,1719.1444999999999,38.0625,2
4,16.5,2382.4094999999998,38.0625,2
5,7.95,1642.4070000000002,38.0625,2
6,4.0,1797.5974999999999,38.0625,2
7,35.65,1649.2475,38.0625,2
8,4.55,1498.892,38.0625,2
9,28.5,1647.442,38.0625,2
10,4.5,2472.8855000000003,38.0625,2
11,2.5,1647.44,38.0625,2
12,3.55,1650.0259999999998,38.0625,2
13,7.0,1497.7075,38.0625,2
14,6.6,1728.435,38.0625,2
15,29.45,3292.1865,38.0625,2
16,3.5,1497.716,38.0625,2
17,4.9,1876.55,38.0625,2
18,8.1,1612.9165,38.0625,2
19,7.05,1618.966,38.0625,2
20,8.45,2380.318,38.0625,2
21,4.5,1910.6280000000002,38.0625,2
22,7.05,2302.8360000000002,38.0625,2
23,0.0,1868.9935,38.0625,2
24,3.5,1498.031,38.0625,2
25,0.0,1735.034,38.0625,2
26,13.0,2468.2645,38.0625,2
27,3.5,1918.2035,38.0625,2
28,13.5,1745.7615,38.0625,2
29,0.0,1497.6225,38.0625,2
30,0.0,2333.2505,38.0625,2
31,24.0,3296.977,38.0625,2
