Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,25.0,2164.5055,36.25,2
1,44.5,3234.702,36.25,2
2,17.7,3243.7875000000004,36.25,2
3,28.05,3264.8535,36.25,2
4,23.0,3256.1525,36.25,2
5,26.35,2536.1865000000003,36.25,2
6,43.15,2809.5344999999998,36.25,2
7,15.05,3255.074,36.25,2
8,20.7,2044.587,36.25,2
9,33.25,1995.4015,36.25,2
10,24.0,3300.076,36.25,2
11,21.35,2279.6825,36.25,2
12,15.05,3303.0595000000003,36.25,2
13,26.1,3298.7535,36.25,2
14,18.7,3297.712,36.25,2
15,24.0,3297.9295,36.25,2
16,21.85,1763.0875,36.25,2
17,14.05,3254.98,36.25,2
18,19.8,3231.0385,36.25,2
19,22.4,2516.0305,36.25,2
20,25.35,3273.3345,36.25,2
21,25.85,2524.666,36.25,2
22,20.4,2807.9645,36.25,2
23,56.0,3257.1684999999998,36.25,2
24,27.4,2538.4385,36.25,2
25,17.2,2470.002,36.25,2
26,13.95,3294.9845,36.25,2
27,38.1,2439.2110000000002,36.25,2
28,28.8,3286.0065,36.25,2
29,40.2,3288.1310000000003,36.25,2
30,22.4,3298.24,36.25,2
31,27.5,3280.0655,36.25,2
