Process_CPU,Affined_Cores,Affined_Temperatures,Timestamp
99.8,"{0: 33.3, 1: 27.3, 2: 40.0, 3: 30.0, 4: 30.0, 5: 22.2, 6: 22.2, 7: 22.2, 8: 30.0, 9: 22.2, 10: 30.0, 11: 30.0, 12: 0.0, 13: 30.0, 14: 36.4, 15: 22.2, 16: 0.0, 17: 30.0, 18: 0.0, 19: 0.0, 20: 30.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 30.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 30.0, 33: 30.0, 34: 30.0, 35: 30.0, 36: 60.0, 37: 30.0, 38: 30.0, 39: 30.0, 40: 27.3, 41: 22.2, 42: 36.4, 43: 27.3, 44: 0.0, 45: 22.2, 46: 30.0, 47: 30.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 100.0, 62: 0.0, 63: 100.0}","{0: 34.5, 1: 34.5, 2: 34.5, 3: 34.5, 4: 34.5, 5: 34.5, 6: 34.5, 7: 34.5, 8: 34.5, 9: 34.5, 10: 34.5, 11: 34.5, 12: 34.5, 13: 34.5, 14: 34.5, 15: 34.5, 16: 34.5, 17: 34.5, 18: 34.5, 19: 34.5, 20: 34.5, 21: 34.5, 22: 34.5, 23: 34.5, 24: 34.5, 25: 34.5, 26: 34.5, 27: 34.5, 28: 34.5, 29: 34.5, 30: 34.5, 31: 34.5, 32: 34.5, 33: 34.5, 34: 34.5, 35: 34.5, 36: 34.5, 37: 34.5, 38: 34.5, 39: 34.5, 40: 34.5, 41: 34.5, 42: 34.5, 43: 34.5, 44: 34.5, 45: 34.5, 46: 34.5, 47: 34.5, 48: 34.5, 49: 34.5, 50: 34.5, 51: 34.5, 52: 34.5, 53: 34.5, 54: 34.5, 55: 34.5, 56: 34.5, 57: 34.5, 58: 34.5, 59: 34.5, 60: 34.5, 61: 34.5, 62: 34.5, 63: 34.5}",2025-03-12 20:19:16.407260
99.8,"{0: 44.4, 1: 45.5, 2: 80.0, 3: 50.0, 4: 40.0, 5: 0.0, 6: 40.0, 7: 50.0, 8: 50.0, 9: 44.4, 10: 50.0, 11: 50.0, 12: 44.4, 13: 50.0, 14: 50.0, 15: 50.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 40.0, 20: 100.0, 21: 0.0, 22: 50.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 50.0, 33: 45.5, 34: 50.0, 35: 50.0, 36: 20.0, 37: 50.0, 38: 50.0, 39: 44.4, 40: 50.0, 41: 44.4, 42: 50.0, 43: 50.0, 44: 40.0, 45: 50.0, 46: 45.5, 47: 50.0, 48: 50.0, 49: 54.5, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.125, 1: 34.125, 2: 34.125, 3: 34.125, 4: 34.125, 5: 34.125, 6: 34.125, 7: 34.125, 8: 34.125, 9: 34.125, 10: 34.125, 11: 34.125, 12: 34.125, 13: 34.125, 14: 34.125, 15: 34.125, 16: 34.125, 17: 34.125, 18: 34.125, 19: 34.125, 20: 34.125, 21: 34.125, 22: 34.125, 23: 34.125, 24: 34.125, 25: 34.125, 26: 34.125, 27: 34.125, 28: 34.125, 29: 34.125, 30: 34.125, 31: 34.125, 32: 34.125, 33: 34.125, 34: 34.125, 35: 34.125, 36: 34.125, 37: 34.125, 38: 34.125, 39: 34.125, 40: 34.125, 41: 34.125, 42: 34.125, 43: 34.125, 44: 34.125, 45: 34.125, 46: 34.125, 47: 34.125, 48: 34.125, 49: 34.125, 50: 34.125, 51: 34.125, 52: 34.125, 53: 34.125, 54: 34.125, 55: 34.125, 56: 34.125, 57: 34.125, 58: 34.125, 59: 34.125, 60: 34.125, 61: 34.125, 62: 34.125, 63: 34.125}",2025-03-12 20:19:18.732128
109.8,"{0: 0.0, 1: 0.0, 2: 100.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.0, 15: 0.0, 16: 0.0, 17: 0.0, 18: 0.0, 19: 100.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 0.0, 33: 0.0, 34: 0.0, 35: 0.0, 36: 0.0, 37: 0.0, 38: 0.0, 39: 0.0, 40: 0.0, 41: 0.0, 42: 0.0, 43: 0.0, 44: 0.0, 45: 0.0, 46: 0.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.0625, 1: 34.0625, 2: 34.0625, 3: 34.0625, 4: 34.0625, 5: 34.0625, 6: 34.0625, 7: 34.0625, 8: 34.0625, 9: 34.0625, 10: 34.0625, 11: 34.0625, 12: 34.0625, 13: 34.0625, 14: 34.0625, 15: 34.0625, 16: 34.0625, 17: 34.0625, 18: 34.0625, 19: 34.0625, 20: 34.0625, 21: 34.0625, 22: 34.0625, 23: 34.0625, 24: 34.0625, 25: 34.0625, 26: 34.0625, 27: 34.0625, 28: 34.0625, 29: 34.0625, 30: 34.0625, 31: 34.0625, 32: 34.0625, 33: 34.0625, 34: 34.0625, 35: 34.0625, 36: 34.0625, 37: 34.0625, 38: 34.0625, 39: 34.0625, 40: 34.0625, 41: 34.0625, 42: 34.0625, 43: 34.0625, 44: 34.0625, 45: 34.0625, 46: 34.0625, 47: 34.0625, 48: 34.0625, 49: 34.0625, 50: 34.0625, 51: 34.0625, 52: 34.0625, 53: 34.0625, 54: 34.0625, 55: 34.0625, 56: 34.0625, 57: 34.0625, 58: 34.0625, 59: 34.0625, 60: 34.0625, 61: 34.0625, 62: 34.0625, 63: 34.0625}",2025-03-12 20:19:21.064800
99.9,"{0: 20.0, 1: 20.0, 2: 80.0, 3: 0.0, 4: 18.2, 5: 20.0, 6: 20.0, 7: 20.0, 8: 20.0, 9: 20.0, 10: 10.0, 11: 20.0, 12: 11.1, 13: 10.0, 14: 20.0, 15: 11.1, 16: 20.0, 17: 0.0, 18: 20.0, 19: 0.0, 20: 20.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 20.0, 33: 20.0, 34: 0.0, 35: 20.0, 36: 20.0, 37: 20.0, 38: 20.0, 39: 20.0, 40: 20.0, 41: 20.0, 42: 20.0, 43: 11.1, 44: 18.2, 45: 20.0, 46: 20.0, 47: 11.1, 48: 90.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.0625, 1: 34.0625, 2: 34.0625, 3: 34.0625, 4: 34.0625, 5: 34.0625, 6: 34.0625, 7: 34.0625, 8: 34.0625, 9: 34.0625, 10: 34.0625, 11: 34.0625, 12: 34.0625, 13: 34.0625, 14: 34.0625, 15: 34.0625, 16: 34.0625, 17: 34.0625, 18: 34.0625, 19: 34.0625, 20: 34.0625, 21: 34.0625, 22: 34.0625, 23: 34.0625, 24: 34.0625, 25: 34.0625, 26: 34.0625, 27: 34.0625, 28: 34.0625, 29: 34.0625, 30: 34.0625, 31: 34.0625, 32: 34.0625, 33: 34.0625, 34: 34.0625, 35: 34.0625, 36: 34.0625, 37: 34.0625, 38: 34.0625, 39: 34.0625, 40: 34.0625, 41: 34.0625, 42: 34.0625, 43: 34.0625, 44: 34.0625, 45: 34.0625, 46: 34.0625, 47: 34.0625, 48: 34.0625, 49: 34.0625, 50: 34.0625, 51: 34.0625, 52: 34.0625, 53: 34.0625, 54: 34.0625, 55: 34.0625, 56: 34.0625, 57: 34.0625, 58: 34.0625, 59: 34.0625, 60: 34.0625, 61: 34.0625, 62: 34.0625, 63: 34.0625}",2025-03-12 20:19:23.406892
89.9,"{0: 44.4, 1: 54.5, 2: 50.0, 3: 40.0, 4: 45.5, 5: 40.0, 6: 0.0, 7: 45.5, 8: 50.0, 9: 0.0, 10: 45.5, 11: 0.0, 12: 50.0, 13: 45.5, 14: 44.4, 15: 40.0, 16: 81.8, 17: 0.0, 18: 45.5, 19: 0.0, 20: 0.0, 21: 100.0, 22: 0.0, 23: 10.0, 24: 40.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 40.0, 31: 0.0, 32: 50.0, 33: 54.5, 34: 40.0, 35: 44.4, 36: 44.4, 37: 20.0, 38: 45.5, 39: 45.5, 40: 50.0, 41: 40.0, 42: 40.0, 43: 40.0, 44: 50.0, 45: 50.0, 46: 50.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 50.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 33.75, 1: 33.75, 2: 33.75, 3: 33.75, 4: 33.75, 5: 33.75, 6: 33.75, 7: 33.75, 8: 33.75, 9: 33.75, 10: 33.75, 11: 33.75, 12: 33.75, 13: 33.75, 14: 33.75, 15: 33.75, 16: 33.75, 17: 33.75, 18: 33.75, 19: 33.75, 20: 33.75, 21: 33.75, 22: 33.75, 23: 33.75, 24: 33.75, 25: 33.75, 26: 33.75, 27: 33.75, 28: 33.75, 29: 33.75, 30: 33.75, 31: 33.75, 32: 33.75, 33: 33.75, 34: 33.75, 35: 33.75, 36: 33.75, 37: 33.75, 38: 33.75, 39: 33.75, 40: 33.75, 41: 33.75, 42: 33.75, 43: 33.75, 44: 33.75, 45: 33.75, 46: 33.75, 47: 33.75, 48: 33.75, 49: 33.75, 50: 33.75, 51: 33.75, 52: 33.75, 53: 33.75, 54: 33.75, 55: 33.75, 56: 33.75, 57: 33.75, 58: 33.75, 59: 33.75, 60: 33.75, 61: 33.75, 62: 33.75, 63: 33.75}",2025-03-12 20:19:25.746650
99.9,"{0: 0.0, 1: 40.0, 2: 50.0, 3: 45.5, 4: 44.4, 5: 45.5, 6: 0.0, 7: 44.4, 8: 45.5, 9: 40.0, 10: 44.4, 11: 0.0, 12: 40.0, 13: 40.0, 14: 50.0, 15: 40.0, 16: 0.0, 17: 80.0, 18: 44.4, 19: 0.0, 20: 20.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 40.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 50.0, 29: 80.0, 30: 40.0, 31: 0.0, 32: 40.0, 33: 40.0, 34: 40.0, 35: 45.5, 36: 45.5, 37: 11.1, 38: 44.4, 39: 40.0, 40: 0.0, 41: 44.4, 42: 50.0, 43: 36.4, 44: 40.0, 45: 50.0, 46: 40.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 40.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.3125, 1: 34.3125, 2: 34.3125, 3: 34.3125, 4: 34.3125, 5: 34.3125, 6: 34.3125, 7: 34.3125, 8: 34.3125, 9: 34.3125, 10: 34.3125, 11: 34.3125, 12: 34.3125, 13: 34.3125, 14: 34.3125, 15: 34.3125, 16: 34.3125, 17: 34.3125, 18: 34.3125, 19: 34.3125, 20: 34.3125, 21: 34.3125, 22: 34.3125, 23: 34.3125, 24: 34.3125, 25: 34.3125, 26: 34.3125, 27: 34.3125, 28: 34.3125, 29: 34.3125, 30: 34.3125, 31: 34.3125, 32: 34.3125, 33: 34.3125, 34: 34.3125, 35: 34.3125, 36: 34.3125, 37: 34.3125, 38: 34.3125, 39: 34.3125, 40: 34.3125, 41: 34.3125, 42: 34.3125, 43: 34.3125, 44: 34.3125, 45: 34.3125, 46: 34.3125, 47: 34.3125, 48: 34.3125, 49: 34.3125, 50: 34.3125, 51: 34.3125, 52: 34.3125, 53: 34.3125, 54: 34.3125, 55: 34.3125, 56: 34.3125, 57: 34.3125, 58: 34.3125, 59: 34.3125, 60: 34.3125, 61: 34.3125, 62: 34.3125, 63: 34.3125}",2025-03-12 20:19:28.086217
99.8,"{0: 0.0, 1: 0.0, 2: 40.0, 3: 0.0, 4: 33.3, 5: 33.3, 6: 40.0, 7: 0.0, 8: 40.0, 9: 40.0, 10: 40.0, 11: 0.0, 12: 33.3, 13: 40.0, 14: 33.3, 15: 40.0, 16: 40.0, 17: 44.4, 18: 80.0, 19: 0.0, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 40.0, 25: 0.0, 26: 100.0, 27: 0.0, 28: 0.0, 29: 100.0, 30: 40.0, 31: 0.0, 32: 40.0, 33: 40.0, 34: 33.3, 35: 30.0, 36: 40.0, 37: 11.1, 38: 33.3, 39: 33.3, 40: 33.3, 41: 33.3, 42: 30.0, 43: 40.0, 44: 40.0, 45: 33.3, 46: 40.0, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 40.0, 55: 0.0, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 40.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.125, 1: 34.125, 2: 34.125, 3: 34.125, 4: 34.125, 5: 34.125, 6: 34.125, 7: 34.125, 8: 34.125, 9: 34.125, 10: 34.125, 11: 34.125, 12: 34.125, 13: 34.125, 14: 34.125, 15: 34.125, 16: 34.125, 17: 34.125, 18: 34.125, 19: 34.125, 20: 34.125, 21: 34.125, 22: 34.125, 23: 34.125, 24: 34.125, 25: 34.125, 26: 34.125, 27: 34.125, 28: 34.125, 29: 34.125, 30: 34.125, 31: 34.125, 32: 34.125, 33: 34.125, 34: 34.125, 35: 34.125, 36: 34.125, 37: 34.125, 38: 34.125, 39: 34.125, 40: 34.125, 41: 34.125, 42: 34.125, 43: 34.125, 44: 34.125, 45: 34.125, 46: 34.125, 47: 34.125, 48: 34.125, 49: 34.125, 50: 34.125, 51: 34.125, 52: 34.125, 53: 34.125, 54: 34.125, 55: 34.125, 56: 34.125, 57: 34.125, 58: 34.125, 59: 34.125, 60: 34.125, 61: 34.125, 62: 34.125, 63: 34.125}",2025-03-12 20:19:30.431366
99.9,"{0: 66.7, 1: 0.0, 2: 70.0, 3: 66.7, 4: 70.0, 5: 70.0, 6: 70.0, 7: 66.7, 8: 0.0, 9: 60.0, 10: 70.0, 11: 0.0, 12: 66.7, 13: 66.7, 14: 70.0, 15: 63.6, 16: 70.0, 17: 0.0, 18: 0.0, 19: 100.0, 20: 60.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 66.7, 25: 0.0, 26: 60.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 70.0, 32: 66.7, 33: 70.0, 34: 66.7, 35: 66.7, 36: 66.7, 37: 20.0, 38: 0.0, 39: 80.0, 40: 63.6, 41: 70.0, 42: 60.0, 43: 66.7, 44: 66.7, 45: 66.7, 46: 66.7, 47: 0.0, 48: 0.0, 49: 0.0, 50: 0.0, 51: 0.0, 52: 0.0, 53: 100.0, 54: 70.0, 55: 9.1, 56: 0.0, 57: 0.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 0.0, 63: 0.0}","{0: 34.25, 1: 34.25, 2: 34.25, 3: 34.25, 4: 34.25, 5: 34.25, 6: 34.25, 7: 34.25, 8: 34.25, 9: 34.25, 10: 34.25, 11: 34.25, 12: 34.25, 13: 34.25, 14: 34.25, 15: 34.25, 16: 34.25, 17: 34.25, 18: 34.25, 19: 34.25, 20: 34.25, 21: 34.25, 22: 34.25, 23: 34.25, 24: 34.25, 25: 34.25, 26: 34.25, 27: 34.25, 28: 34.25, 29: 34.25, 30: 34.25, 31: 34.25, 32: 34.25, 33: 34.25, 34: 34.25, 35: 34.25, 36: 34.25, 37: 34.25, 38: 34.25, 39: 34.25, 40: 34.25, 41: 34.25, 42: 34.25, 43: 34.25, 44: 34.25, 45: 34.25, 46: 34.25, 47: 34.25, 48: 34.25, 49: 34.25, 50: 34.25, 51: 34.25, 52: 34.25, 53: 34.25, 54: 34.25, 55: 34.25, 56: 34.25, 57: 34.25, 58: 34.25, 59: 34.25, 60: 34.25, 61: 34.25, 62: 34.25, 63: 34.25}",2025-03-12 20:19:32.742936
99.9,"{0: 40.0, 1: 45.5, 2: 0.0, 3: 80.0, 4: 20.0, 5: 45.5, 6: 10.0, 7: 40.0, 8: 45.5, 9: 0.0, 10: 0.0, 11: 50.0, 12: 40.0, 13: 45.5, 14: 44.4, 15: 40.0, 16: 40.0, 17: 9.1, 18: 0.0, 19: 0.0, 20: 40.0, 21: 0.0, 22: 45.5, 23: 0.0, 24: 40.0, 25: 0.0, 26: 40.0, 27: 0.0, 28: 0.0, 29: 0.0, 30: 0.0, 31: 0.0, 32: 40.0, 33: 45.5, 34: 0.0, 35: 45.5, 36: 45.5, 37: 45.5, 38: 40.0, 39: 45.5, 40: 40.0, 41: 40.0, 42: 40.0, 43: 45.5, 44: 40.0, 45: 40.0, 46: 40.0, 47: 45.5, 48: 0.0, 49: 0.0, 50: 100.0, 51: 0.0, 52: 0.0, 53: 0.0, 54: 0.0, 55: 0.0, 56: 0.0, 57: 100.0, 58: 0.0, 59: 0.0, 60: 0.0, 61: 0.0, 62: 45.5, 63: 0.0}","{0: 34.5, 1: 34.5, 2: 34.5, 3: 34.5, 4: 34.5, 5: 34.5, 6: 34.5, 7: 34.5, 8: 34.5, 9: 34.5, 10: 34.5, 11: 34.5, 12: 34.5, 13: 34.5, 14: 34.5, 15: 34.5, 16: 34.5, 17: 34.5, 18: 34.5, 19: 34.5, 20: 34.5, 21: 34.5, 22: 34.5, 23: 34.5, 24: 34.5, 25: 34.5, 26: 34.5, 27: 34.5, 28: 34.5, 29: 34.5, 30: 34.5, 31: 34.5, 32: 34.5, 33: 34.5, 34: 34.5, 35: 34.5, 36: 34.5, 37: 34.5, 38: 34.5, 39: 34.5, 40: 34.5, 41: 34.5, 42: 34.5, 43: 34.5, 44: 34.5, 45: 34.5, 46: 34.5, 47: 34.5, 48: 34.5, 49: 34.5, 50: 34.5, 51: 34.5, 52: 34.5, 53: 34.5, 54: 34.5, 55: 34.5, 56: 34.5, 57: 34.5, 58: 34.5, 59: 34.5, 60: 34.5, 61: 34.5, 62: 34.5, 63: 34.5}",2025-03-12 20:19:35.077407
109.8,"{0: 66.7, 1: 10.0, 2: 50.0, 3: 63.6, 4: 70.0, 5: 22.2, 6: 40.0, 7: 66.7, 8: 60.0, 9: 60.0, 10: 9.1, 11: 70.0, 12: 20.0, 13: 72.7, 14: 66.7, 15: 63.6, 16: 11.1, 17: 18.2, 18: 10.0, 19: 50.0, 20: 0.0, 21: 0.0, 22: 60.0, 23: 60.0, 24: 10.0, 25: 10.0, 26: 9.1, 27: 55.6, 28: 9.1, 29: 30.0, 30: 18.2, 31: 55.6, 32: 66.7, 33: 66.7, 34: 10.0, 35: 66.7, 36: 66.7, 37: 60.0, 38: 60.0, 39: 66.7, 40: 66.7, 41: 63.6, 42: 50.0, 43: 70.0, 44: 80.0, 45: 66.7, 46: 20.0, 47: 18.2, 48: 18.2, 49: 90.0, 50: 10.0, 51: 10.0, 52: 50.0, 53: 80.0, 54: 10.0, 55: 10.0, 56: 18.2, 57: 60.0, 58: 9.1, 59: 9.1, 60: 10.0, 61: 10.0, 62: 10.0, 63: 9.1}","{0: 34.75, 1: 34.75, 2: 34.75, 3: 34.75, 4: 34.75, 5: 34.75, 6: 34.75, 7: 34.75, 8: 34.75, 9: 34.75, 10: 34.75, 11: 34.75, 12: 34.75, 13: 34.75, 14: 34.75, 15: 34.75, 16: 34.75, 17: 34.75, 18: 34.75, 19: 34.75, 20: 34.75, 21: 34.75, 22: 34.75, 23: 34.75, 24: 34.75, 25: 34.75, 26: 34.75, 27: 34.75, 28: 34.75, 29: 34.75, 30: 34.75, 31: 34.75, 32: 34.75, 33: 34.75, 34: 34.75, 35: 34.75, 36: 34.75, 37: 34.75, 38: 34.75, 39: 34.75, 40: 34.75, 41: 34.75, 42: 34.75, 43: 34.75, 44: 34.75, 45: 34.75, 46: 34.75, 47: 34.75, 48: 34.75, 49: 34.75, 50: 34.75, 51: 34.75, 52: 34.75, 53: 34.75, 54: 34.75, 55: 34.75, 56: 34.75, 57: 34.75, 58: 34.75, 59: 34.75, 60: 34.75, 61: 34.75, 62: 34.75, 63: 34.75}",2025-03-12 20:19:37.402524
