Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,15.149999999999999,2332.8199999999997,35.6875,2
1,23.0,3297.1785,35.6875,2
2,34.7,3302.8795,35.6875,2
3,18.1,3303.1440000000002,35.6875,2
4,17.5,3307.681,35.6875,2
5,20.55,2750.7250000000004,35.6875,2
6,20.0,3309.1175,35.6875,2
7,21.4,3311.0575,35.6875,2
8,19.15,2384.4825,35.6875,2
9,15.55,2742.4215,35.6875,2
10,14.850000000000001,1797.866,35.6875,2
11,19.7,2480.9055,35.6875,2
12,52.5,3282.4525,35.6875,2
13,16.8,2698.2115,35.6875,2
14,17.5,2489.3590000000004,35.6875,2
15,33.1,2475.3075,35.6875,2
16,16.5,2476.365,35.6875,2
17,26.1,3299.0344999999998,35.6875,2
18,34.35,3299.6975,35.6875,2
19,19.0,3297.6435,35.6875,2
20,17.4,3295.1850000000004,35.6875,2
21,40.75,2677.453,35.6875,2
22,20.0,3293.4315,35.6875,2
23,19.9,3301.3329999999996,35.6875,2
24,28.4,2366.774,35.6875,2
25,55.5,2745.6345,35.6875,2
26,14.5,1797.1390000000001,35.6875,2
27,17.05,2471.8705,35.6875,2
28,16.1,2741.492,35.6875,2
29,21.35,3260.1775,35.6875,2
30,40.8,2397.7155,35.6875,2
31,17.5,2473.3714999999997,35.6875,2
