Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,27.950000000000003,3110.871,35.6875,2
1,14.55,2555.0299999999997,35.6875,2
2,22.45,2460.3050000000003,35.6875,2
3,18.6,2489.67,35.6875,2
4,18.1,2400.0705,35.6875,2
5,32.7,3299.748,35.6875,2
6,46.15,3287.937,35.6875,2
7,16.55,2796.2335000000003,35.6875,2
8,9.4,2330.3689999999997,35.6875,2
9,16.6,2290.624,35.6875,2
10,15.55,2527.8485,35.6875,2
11,47.15,3283.3104999999996,35.6875,2
12,42.4,2840.6980000000003,35.6875,2
13,20.15,2491.6145,35.6875,2
14,37.3,2803.2715,35.6875,2
15,11.45,3005.932,35.6875,2
16,15.45,3134.3869999999997,35.6875,2
17,25.6,2488.495,35.6875,2
18,13.95,2471.6639999999998,35.6875,2
19,30.6,2425.629,35.6875,2
20,18.7,2400.0585,35.6875,2
21,14.5,3296.5475,35.6875,2
22,14.45,2481.0955,35.6875,2
23,31.8,2541.8,35.6875,2
24,21.6,1993.116,35.6875,2
25,18.299999999999997,2199.4155,35.6875,2
26,14.6,2316.517,35.6875,2
27,10.95,3282.59,35.6875,2
28,23.1,3207.759,35.6875,2
29,24.7,2114.0115,35.6875,2
30,14.55,3228.652,35.6875,2
31,13.9,2864.5965,35.6875,2
