Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,21.6,2749.9885,35.875,2
1,20.700000000000003,2683.5434999999998,35.875,2
2,28.9,3298.228,35.875,2
3,37.8,3155.5865000000003,35.875,2
4,19.3,2931.258,35.875,2
5,21.3,2755.7690000000002,35.875,2
6,55.45,3199.259,35.875,2
7,24.5,2792.124,35.875,2
8,37.0,1718.7330000000002,35.875,2
9,27.15,2420.9685,35.875,2
10,28.5,2970.639,35.875,2
11,32.9,2937.4539999999997,35.875,2
12,23.1,2737.1345,35.875,2
13,39.65,3301.6319999999996,35.875,2
14,24.85,3290.6385,35.875,2
15,17.6,3069.5795,35.875,2
16,21.4,2747.301,35.875,2
17,17.0,2558.541,35.875,2
18,30.25,3241.1409999999996,35.875,2
19,20.4,2996.3014999999996,35.875,2
20,21.0,2802.7844999999998,35.875,2
21,23.65,2747.9025,35.875,2
22,25.65,3292.266,35.875,2
23,20.8,2643.804,35.875,2
24,26.65,2396.0395,35.875,2
25,20.9,2393.953,35.875,2
26,19.4,2996.0265,35.875,2
27,34.25,2746.5865000000003,35.875,2
28,18.35,2473.7309999999998,35.875,2
29,21.0,3305.036,35.875,2
30,21.4,3291.5294999999996,35.875,2
31,38.5,2980.4125,35.875,2
