Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,22.15,2768.0415000000003,34.875,2
1,45.45,3114.8175,34.875,2
2,28.3,2921.5115,34.875,2
3,24.65,2783.4865,34.875,2
4,14.850000000000001,2902.6825,34.875,2
5,17.6,2727.9970000000003,34.875,2
6,15.75,2734.5074999999997,34.875,2
7,10.6,2841.2749999999996,34.875,2
8,17.25,2520.5605,34.875,2
9,26.5,2827.546,34.875,2
10,37.35,2995.5,34.875,2
11,9.05,2825.879,34.875,2
12,23.85,2911.7690000000002,34.875,2
13,27.5,2827.5795,34.875,2
14,32.0,2906.5164999999997,34.875,2
15,36.8,2899.023,34.875,2
16,23.6,2591.2805,34.875,2
17,18.15,2995.8770000000004,34.875,2
18,19.1,2851.7675,34.875,2
19,18.2,2621.6065,34.875,2
20,27.85,2907.4645,34.875,2
21,18.4,2597.009,34.875,2
22,25.5,2758.087,34.875,2
23,14.7,2774.171,34.875,2
24,14.149999999999999,2626.2445,34.875,2
25,7.55,2807.9825,34.875,2
26,15.05,2887.707,34.875,2
27,13.1,2709.093,34.875,2
28,20.4,2849.4795,34.875,2
29,13.149999999999999,2874.966,34.875,2
30,10.1,2756.0789999999997,34.875,2
31,18.799999999999997,2830.1475,34.875,2
