Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,13.2,1887.518,34.9375,2
1,46.9,3298.7380000000003,34.9375,2
2,14.55,1798.3345,34.9375,2
3,30.5,1798.5545,34.9375,2
4,18.5,1799.5104999999999,34.9375,2
5,21.2,2379.5695,34.9375,2
6,16.3,1766.7915,34.9375,2
7,10.6,1995.268,34.9375,2
8,18.8,2374.782,34.9375,2
9,6.0,1649.8075,34.9375,2
10,19.85,1613.7379999999998,34.9375,2
11,40.1,3295.8685,34.9375,2
12,15.65,2375.3625,34.9375,2
13,24.9,1799.5774999999999,34.9375,2
14,30.5,2014.0585,34.9375,2
15,1.0,2119.393,34.9375,2
16,15.9,1886.7785000000001,34.9375,2
17,11.9,3292.2425000000003,34.9375,2
18,14.95,1724.1844999999998,34.9375,2
19,14.100000000000001,1864.8159999999998,34.9375,2
20,19.05,2026.1619999999998,34.9375,2
21,5.0,2382.0315,34.9375,2
22,12.5,2120.0445,34.9375,2
23,0.0,2029.7355000000002,34.9375,2
24,1.0,2374.028,34.9375,2
25,7.6,1761.513,34.9375,2
26,32.5,1671.3085,34.9375,2
27,11.45,3296.402,34.9375,2
28,20.45,2383.751,34.9375,2
29,1.5,2279.902,34.9375,2
30,2.0,2390.2355,34.9375,2
31,14.5,2098.227,34.9375,2
