Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,12.25,2755.432,34.3125,2
1,11.2,2695.5730000000003,34.3125,2
2,13.2,2657.0685000000003,34.3125,2
3,17.1,2806.5635,34.3125,2
4,11.1,2827.5875,34.3125,2
5,37.45,2804.4534999999996,34.3125,2
6,31.05,2983.386,34.3125,2
7,18.7,2855.8175,34.3125,2
8,22.0,2545.9125,34.3125,2
9,19.45,2804.9970000000003,34.3125,2
10,31.5,2896.2754999999997,34.3125,2
11,35.15,2910.871,34.3125,2
12,18.55,2844.4184999999998,34.3125,2
13,42.7,2836.187,34.3125,2
14,12.1,2773.9715,34.3125,2
15,33.85,2832.9309999999996,34.3125,2
16,22.1,2525.639,34.3125,2
17,7.6,2665.3665,34.3125,2
18,7.1,2625.4745000000003,34.3125,2
19,15.649999999999999,2694.7495,34.3125,2
20,16.15,2753.44,34.3125,2
21,29.7,2712.794,34.3125,2
22,32.5,2952.868,34.3125,2
23,20.05,2968.6295,34.3125,2
24,27.049999999999997,2649.587,34.3125,2
25,38.05,2781.011,34.3125,2
26,2.0,2967.8285,34.3125,2
27,15.149999999999999,2905.5875,34.3125,2
28,11.75,2813.0525,34.3125,2
29,6.95,2791.2325,34.3125,2
30,12.149999999999999,2770.114,34.3125,2
31,5.0,2814.5945,34.3125,2
