Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,18.25,3298.3715,34.1875,2
1,51.1,3298.1629999999996,34.1875,2
2,23.85,1520.3765,34.1875,2
3,23.6,3272.6475,34.1875,2
4,28.049999999999997,2476.3085,34.1875,2
5,24.0,2394.4805,34.1875,2
6,27.950000000000003,2429.2690000000002,34.1875,2
7,17.65,3120.6440000000002,34.1875,2
8,30.5,1776.04,34.1875,2
9,50.2,2552.2175,34.1875,2
10,15.5,3295.379,34.1875,2
11,10.5,3006.181,34.1875,2
12,12.5,3299.6025,34.1875,2
13,14.5,2985.0550000000003,34.1875,2
14,17.35,3292.4764999999998,34.1875,2
15,31.85,1655.6515,34.1875,2
16,22.75,3288.9195,34.1875,2
17,21.299999999999997,3272.648,34.1875,2
18,23.85,1755.1845,34.1875,2
19,16.6,3267.825,34.1875,2
20,27.049999999999997,2662.353,34.1875,2
21,34.1,2521.5365,34.1875,2
22,23.0,2580.7309999999998,34.1875,2
23,17.0,3287.5910000000003,34.1875,2
24,12.0,1915.2495,34.1875,2
25,9.5,2695.9515,34.1875,2
26,25.0,3295.8909999999996,34.1875,2
27,24.25,2983.855,34.1875,2
28,10.95,3271.267,34.1875,2
29,24.6,2873.3445,34.1875,2
30,14.25,3290.6995,34.1875,2
31,10.55,1583.5100000000002,34.1875,2
