Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,25.15,3011.371,33.625,2
1,23.0,2653.0825,33.625,2
2,27.0,2821.7839999999997,33.625,2
3,29.2,2605.0605,33.625,2
4,27.4,2733.0235000000002,33.625,2
5,21.0,2657.0150000000003,33.625,2
6,27.65,2595.834,33.625,2
7,20.5,2778.3835,33.625,2
8,21.0,2471.2745,33.625,2
9,13.65,2306.1310000000003,33.625,2
10,26.4,2539.444,33.625,2
11,8.4,2670.4840000000004,33.625,2
12,18.65,2858.2125,33.625,2
13,18.0,2999.9175,33.625,2
14,40.0,3088.288,33.625,2
15,28.15,2757.1285,33.625,2
16,29.25,2879.4695,33.625,2
17,18.85,2646.7605,33.625,2
18,21.0,2700.5675,33.625,2
19,19.6,2549.8795,33.625,2
20,22.75,2697.2445,33.625,2
21,17.05,2613.9665,33.625,2
22,20.5,2709.154,33.625,2
23,44.25,2872.5125,33.625,2
24,25.5,2732.7125,33.625,2
25,11.0,2745.4855,33.625,2
26,11.45,2600.058,33.625,2
27,19.0,2520.7349999999997,33.625,2
28,29.6,2994.599,33.625,2
29,52.05,3101.608,33.625,2
30,16.5,2945.331,33.625,2
31,14.1,2729.7945,33.625,2
