Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,16.45,3000.438,34.3125,2
1,51.5,2775.0,34.3125,2
2,11.2,2858.9115,34.3125,2
3,12.0,3086.7455,34.3125,2
4,12.149999999999999,3049.4809999999998,34.3125,2
5,25.1,2803.6165,34.3125,2
6,14.75,3202.4174999999996,34.3125,2
7,17.8,3020.7259999999997,34.3125,2
8,11.95,3104.6075,34.3125,2
9,26.55,2947.4025,34.3125,2
10,10.55,3297.616,34.3125,2
11,7.95,3236.885,34.3125,2
12,44.5,3305.735,34.3125,2
13,10.6,3086.5405,34.3125,2
14,16.1,3205.5505000000003,34.3125,2
15,11.1,2719.4080000000004,34.3125,2
16,10.0,3043.5765,34.3125,2
17,7.45,3294.6655,34.3125,2
18,14.05,2810.6325,34.3125,2
19,24.25,3033.319,34.3125,2
20,30.8,3042.719,34.3125,2
21,16.7,3101.2929999999997,34.3125,2
22,15.6,3202.551,34.3125,2
23,25.299999999999997,3144.531,34.3125,2
24,8.5,2952.2529999999997,34.3125,2
25,31.9,2954.54,34.3125,2
26,37.7,3285.7619999999997,34.3125,2
27,26.25,2959.2255,34.3125,2
28,12.55,3291.15,34.3125,2
29,23.0,3166.7595,34.3125,2
30,11.55,3207.4805,34.3125,2
31,15.5,2679.594,34.3125,2
