Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,15.25,3286.8135,34.5625,2
1,16.4,2385.0535,34.5625,2
2,14.55,3276.3095,34.5625,2
3,16.55,2459.8675,34.5625,2
4,27.9,3293.3655,34.5625,2
5,14.149999999999999,2490.093,34.5625,2
6,13.95,2464.7205,34.5625,2
7,48.25,3287.8115,34.5625,2
8,14.9,2380.5915,34.5625,2
9,15.35,1528.7935,34.5625,2
10,53.5,3292.766,34.5625,2
11,14.0,3300.087,34.5625,2
12,19.1,2636.4300000000003,34.5625,2
13,31.35,3288.9755,34.5625,2
14,17.549999999999997,3297.8965,34.5625,2
15,12.0,3303.8869999999997,34.5625,2
16,16.0,3276.2995,34.5625,2
17,16.9,2873.0405,34.5625,2
18,13.0,3299.2389999999996,34.5625,2
19,14.9,2623.5950000000003,34.5625,2
20,45.05,3279.4995,34.5625,2
21,18.5,2405.861,34.5625,2
22,16.1,2734.169,34.5625,2
23,18.4,3285.0855,34.5625,2
24,15.15,2447.915,34.5625,2
25,14.4,2382.8065,34.5625,2
26,15.95,3299.3565,34.5625,2
27,14.5,3297.8235,34.5625,2
28,14.0,2535.169,34.5625,2
29,35.75,3296.4055,34.5625,2
30,15.1,3294.2005,34.5625,2
31,13.95,3298.3025,34.5625,2
