Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,16.799999999999997,2771.081,35.0,2
1,17.5,2487.4475,35.0,2
2,50.5,2759.1575000000003,35.0,2
3,17.1,2582.0015,35.0,2
4,15.0,2383.0335,35.0,2
5,20.6,2039.721,35.0,2
6,15.5,3303.641,35.0,2
7,19.7,2807.3135,35.0,2
8,24.3,3285.3415,35.0,2
9,22.5,3299.9700000000003,35.0,2
10,15.95,3297.2174999999997,35.0,2
11,40.7,3281.486,35.0,2
12,16.05,3306.1144999999997,35.0,2
13,21.5,3301.3230000000003,35.0,2
14,42.0,3306.2585,35.0,2
15,15.45,2478.1805,35.0,2
16,20.5,2751.7175,35.0,2
17,16.0,2765.306,35.0,2
18,25.65,3304.7955,35.0,2
19,13.5,2402.4595,35.0,2
20,19.15,2378.3165,35.0,2
21,52.5,2107.4085,35.0,2
22,14.6,3299.3045,35.0,2
23,19.5,3300.3345,35.0,2
24,20.1,3223.3265,35.0,2
25,37.85,3299.6755,35.0,2
26,44.7,3270.6265000000003,35.0,2
27,17.35,3306.0635,35.0,2
28,38.9,3270.199,35.0,2
29,17.25,3291.943,35.0,2
30,16.45,3294.0335,35.0,2
31,17.5,2474.5685000000003,35.0,2
