Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,44.45,3221.358,36.0625,2
1,21.75,3297.7185,36.0625,2
2,22.0,3278.3100000000004,36.0625,2
3,17.0,3264.12,36.0625,2
4,15.95,2754.635,36.0625,2
5,17.7,3300.369,36.0625,2
6,20.2,2758.178,36.0625,2
7,59.35,3239.6745,36.0625,2
8,28.9,3296.818,36.0625,2
9,28.0,3296.411,36.0625,2
10,16.9,3296.407,36.0625,2
11,21.85,3299.9695,36.0625,2
12,16.35,3301.05,36.0625,2
13,48.5,3299.931,36.0625,2
14,22.9,3288.442,36.0625,2
15,19.4,3301.2985,36.0625,2
16,29.1,3254.364,36.0625,2
17,17.7,3296.5820000000003,36.0625,2
18,20.5,3205.24,36.0625,2
19,14.5,3251.7055,36.0625,2
20,18.6,2748.2725,36.0625,2
21,15.05,3296.4415,36.0625,2
22,13.5,2744.2839999999997,36.0625,2
23,15.45,3295.681,36.0625,2
24,38.8,3297.6805,36.0625,2
25,18.1,2972.4719999999998,36.0625,2
26,35.0,3285.5285,36.0625,2
27,30.4,3299.9685,36.0625,2
28,19.0,3298.1775,36.0625,2
29,17.9,3299.9269999999997,36.0625,2
30,21.8,3300.083,36.0625,2
31,18.7,3300.0225,36.0625,2
