Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,16.55,3307.593,34.5,2
1,16.0,2780.2045,34.5,2
2,19.2,2345.9775,34.5,2
3,22.15,2821.8379999999997,34.5,2
4,25.35,2126.2865,34.5,2
5,23.5,2420.06,34.5,2
6,18.05,3265.8375,34.5,2
7,52.5,3123.139,34.5,2
8,14.149999999999999,2736.5119999999997,34.5,2
9,16.65,2552.7965,34.5,2
10,39.1,3293.366,34.5,2
11,15.05,1716.7425,34.5,2
12,16.2,3202.074,34.5,2
13,13.55,1449.528,34.5,2
14,16.6,2615.4595,34.5,2
15,33.5,2677.341,34.5,2
16,16.65,3302.141,34.5,2
17,17.95,3293.6295,34.5,2
18,10.5,2746.784,34.5,2
19,28.599999999999998,3300.287,34.5,2
20,20.1,2779.6725,34.5,2
21,18.5,3304.0434999999998,34.5,2
22,22.1,3057.825,34.5,2
23,14.9,3300.611,34.5,2
24,58.6,2742.3705,34.5,2
25,22.299999999999997,2397.7745,34.5,2
26,17.65,3297.7985,34.5,2
27,15.5,2413.0615,34.5,2
28,20.0,2516.475,34.5,2
29,11.95,1581.1675,34.5,2
30,29.5,2263.3455,34.5,2
31,37.25,2835.1255,34.5,2
