Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,28.3,2577.7299999999996,35.3125,2
1,23.85,2711.5780000000004,35.3125,2
2,20.3,2644.3305,35.3125,2
3,18.6,2657.905,35.3125,2
4,23.9,2923.5834999999997,35.3125,2
5,43.3,2916.332,35.3125,2
6,24.6,2678.7355,35.3125,2
7,23.65,2540.9215,35.3125,2
8,31.299999999999997,2773.328,35.3125,2
9,30.549999999999997,2439.6485000000002,35.3125,2
10,30.5,2777.691,35.3125,2
11,30.85,3031.029,35.3125,2
12,62.5,3174.123,35.3125,2
13,23.0,2574.8705,35.3125,2
14,27.45,2550.9145,35.3125,2
15,36.1,2841.4965,35.3125,2
16,20.9,2612.27,35.3125,2
17,19.0,2703.0405,35.3125,2
18,20.75,2619.3295,35.3125,2
19,20.6,2653.3095000000003,35.3125,2
20,45.5,2944.441,35.3125,2
21,32.7,3029.4555,35.3125,2
22,39.1,2751.454,35.3125,2
23,21.45,2569.6165,35.3125,2
24,24.9,2535.5784999999996,35.3125,2
25,22.950000000000003,2370.4579999999996,35.3125,2
26,43.5,2801.5195000000003,35.3125,2
27,16.75,2813.962,35.3125,2
28,15.95,3039.779,35.3125,2
29,31.05,2525.07,35.3125,2
30,22.65,2619.326,35.3125,2
31,17.6,2728.0119999999997,35.3125,2
