Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,17.75,2689.513,36.625,2
1,17.5,2672.2780000000002,36.625,2
2,39.5,3040.083,36.625,2
3,17.7,2880.526,36.625,2
4,16.0,2754.6155,36.625,2
5,51.45,2933.5715,36.625,2
6,17.0,2746.4665,36.625,2
7,19.9,2737.4845,36.625,2
8,17.75,2324.564,36.625,2
9,30.299999999999997,2821.6625,36.625,2
10,22.0,2645.498,36.625,2
11,37.05,2877.9120000000003,36.625,2
12,16.6,2691.0065,36.625,2
13,28.55,2915.518,36.625,2
14,19.9,2677.692,36.625,2
15,57.6,2849.4415,36.625,2
16,16.2,2517.8665,36.625,2
17,15.5,2718.3109999999997,36.625,2
18,30.5,3012.8885,36.625,2
19,19.4,2886.2614999999996,36.625,2
20,18.0,2599.5575,36.625,2
21,21.5,2931.3265,36.625,2
22,20.0,2767.8505,36.625,2
23,19.5,2662.1865,36.625,2
24,19.7,2264.0845,36.625,2
25,16.2,2487.6679999999997,36.625,2
26,18.4,2683.7619999999997,36.625,2
27,31.6,2809.772,36.625,2
28,15.0,2960.874,36.625,2
29,16.65,2781.7895,36.625,2
30,16.2,2736.1325,36.625,2
31,11.5,2810.165,36.625,2
