Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,30.549999999999997,2405.951,36.25,2
1,44.95,1538.551,36.25,2
2,20.6,3162.3835,36.25,2
3,26.6,3301.4895,36.25,2
4,38.6,3297.6425,36.25,2
5,25.0,3302.816,36.25,2
6,27.65,2396.038,36.25,2
7,36.9,2935.596,36.25,2
8,26.25,3280.0985,36.25,2
9,36.849999999999994,3137.636,36.25,2
10,38.75,3296.1585,36.25,2
11,30.15,2467.927,36.25,2
12,42.5,2817.5294999999996,36.25,2
13,33.85,3297.895,36.25,2
14,23.9,3305.5635,36.25,2
15,46.0,2808.245,36.25,2
16,20.1,2408.7075,36.25,2
17,20.5,1535.501,36.25,2
18,35.849999999999994,3290.6695,36.25,2
19,27.65,3227.0150000000003,36.25,2
20,29.35,3299.2969999999996,36.25,2
21,21.75,3251.6369999999997,36.25,2
22,20.1,2356.611,36.25,2
23,30.25,3289.734,36.25,2
24,29.799999999999997,2587.3035,36.25,2
25,28.75,2643.357,36.25,2
26,31.3,2510.259,36.25,2
27,24.200000000000003,2519.804,36.25,2
28,25.6,3295.0795,36.25,2
29,33.2,2805.276,36.25,2
30,41.75,3300.0055,36.25,2
31,34.65,2807.2830000000004,36.25,2
