Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,6.5,3306.9615,34.9375,2
1,17.1,2394.5075,34.9375,2
2,16.55,2526.5325000000003,34.9375,2
3,9.1,2745.732,34.9375,2
4,17.0,2317.486,34.9375,2
5,53.05,3256.4584999999997,34.9375,2
6,16.0,2527.273,34.9375,2
7,24.35,2106.391,34.9375,2
8,15.65,2460.445,34.9375,2
9,29.55,2749.6724999999997,34.9375,2
10,21.9,3302.619,34.9375,2
11,9.9,2485.4445,34.9375,2
12,16.95,2758.459,34.9375,2
13,20.5,3306.6915,34.9375,2
14,13.5,3314.058,34.9375,2
15,24.4,3296.489,34.9375,2
16,58.0,2827.205,34.9375,2
17,0.5,2260.555,34.9375,2
18,13.35,2244.589,34.9375,2
19,12.0,2178.548,34.9375,2
20,8.4,2601.802,34.9375,2
21,10.95,3297.5985,34.9375,2
22,22.8,3298.491,34.9375,2
23,0.5,2395.5845,34.9375,2
24,28.25,3293.116,34.9375,2
25,7.5,2109.4429999999998,34.9375,2
26,40.3,3263.867,34.9375,2
27,35.35,2271.389,34.9375,2
28,13.5,2739.3675,34.9375,2
29,12.0,3299.215,34.9375,2
30,12.0,3299.7745,34.9375,2
31,1.0,3300.7335,34.9375,2
