Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,24.2,2618.501,36.0,2
1,21.2,2984.3845,36.0,2
2,16.45,2791.8955,36.0,2
3,36.7,2796.829,36.0,2
4,34.9,2782.9415,36.0,2
5,56.85,2908.532,36.0,2
6,19.5,2740.2055,36.0,2
7,21.6,2760.4049999999997,36.0,2
8,21.9,2239.573,36.0,2
9,17.1,2685.5829999999996,36.0,2
10,29.6,2909.0295,36.0,2
11,21.1,2813.5159999999996,36.0,2
12,28.25,2958.3585000000003,36.0,2
13,9.6,2824.996,36.0,2
14,30.5,2815.5344999999998,36.0,2
15,30.35,2966.424,36.0,2
16,19.6,2515.632,36.0,2
17,17.15,2799.462,36.0,2
18,19.9,2745.9515,36.0,2
19,13.45,2679.0240000000003,36.0,2
20,29.15,2789.6785,36.0,2
21,24.25,2881.39,36.0,2
22,16.6,2680.9155,36.0,2
23,20.5,2721.5855,36.0,2
24,21.2,2233.933,36.0,2
25,16.7,2765.0905000000002,36.0,2
26,34.25,2897.015,36.0,2
27,16.6,2778.0225,36.0,2
28,39.35,3028.202,36.0,2
29,19.1,2604.1875,36.0,2
30,44.35,3089.998,36.0,2
31,8.0,3037.8855,36.0,2
