pid,process_name,used_gpu_memory
38849,python3,618
38849,python3,2340
38849,python3,2926
38849,python3,2926
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3218
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3222
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,3224
38849,python3,48152
38849,python3,47902
